179473	148850	150149	178462	144493	148608	162267	161915	157034	165325	157753	148372	155768	147694	172819	145007	151875	167601	147422	172056	169315	158042	165696	142019	145388	166250	142154	186119	146879	146761	147285	151657	185696	179259	160422	154606	145281	163515	155288	158776	155935	184478	154238	147750	153835	151010	149066	152911	151742	160342	156854	146800	162733	173193	172747	159930	164972	177784	168888	148449	178690	150433	159058	157258	156785	155954	146078	164612	147217	150485	153242	160989	146517	169446	162494	170189	174446	
156241	55929	57142	49331	52066	51884	51154	50611	58895	51475	68077	51349	49551	62099	51813	52990	53696	51097	51487	50081	49975	48846	50086	49295	49567	53927	49262	49116	47864	61410	48397	68031	57452	54052	59045	49691	58307	55749	58621	48293	61010	67811	59248	47573	49511	66581	48193	49499	72955	49817	50987	52082	81466	56255	52815	56326	48003	61809	48021	53046	57180	48829	55795	65525	48232	64948	50360	57571	50831	47060	50177	50179	58984	50487	64078	47882	157845	
158568	56358	46482	59783	47786	50774	49924	49909	50858	62159	47313	49812	56716	55991	46506	50717	48492	60468	48249	64733	48037	74682	69948	50362	48498	57176	49024	51021	60189	56794	54335	56262	49706	52140	50567	48134	50281	64554	70831	64141	48119	48264	50544	50113	48177	57502	52675	52958	48711	60127	56259	51764	59835	55181	49131	49733	64388	51035	66336	51274	50383	49666	50161	59538	57718	51753	49816	56868	49458	50444	61064	50061	68199	48336	49227	74930	187171	
173396	49329	51404	52719	56824	48539	48246	53880	49868	48480	49787	53395	47279	57067	51446	53989	55840	60253	66103	47880	51748	56039	51924	59275	46640	59054	48592	54591	48860	48301	70810	53774	59771	59470	59986	50683	59116	71637	59685	45661	50623	48064	51738	55902	59591	49519	58683	48465	50096	60482	50853	49006	50707	57100	52088	57019	51223	53405	63898	53076	49857	60737	47137	57484	50204	58915	50872	49088	52693	48340	65889	57270	58213	50054	50056	53110	180183	
180694	68347	58202	58970	51173	51278	46849	49029	53478	51449	52346	51451	49710	49788	55166	63841	60001	49815	54973	52955	57944	59709	64378	64616	49559	50080	54729	60231	50014	53744	57902	56841	51851	66539	50097	49423	47763	47697	51579	49515	49001	52315	53030	49311	49206	52742	48191	48531	49817	65345	49723	60719	63904	57614	48398	55681	48694	51981	47093	52218	48975	49717	52929	50997	48897	49149	46278	48340	48137	47475	58492	50629	57496	48251	50839	50062	174051	
142220	47797	61118	52317	53579	52629	50178	47748	48164	58213	49990	47312	48803	57843	47875	47421	47525	48454	48546	59764	71268	51997	52879	47399	49054	48474	48734	51354	50292	56512	50124	52167	47796	69569	55147	48517	62658	50692	47934	52896	63341	48493	56466	48092	51715	48100	51216	77049	50008	49726	54922	53000	51266	49527	52955	48939	48224	47558	48249	52527	48944	47229	50653	51027	57389	61694	48472	47462	48074	75134	66954	47794	46877	48500	47522	64258	177245	
145784	50999	54752	57093	51366	48294	50604	67225	50509	59005	49212	53104	51324	63544	46963	49716	49974	54759	50770	53039	51973	51450	64862	56699	52211	52220	50098	55928	58196	49166	62167	49196	53809	67074	52346	48898	53211	49077	54287	49318	49166	47819	47963	48979	59801	63772	47807	49297	68684	55265	55887	49236	61598	52251	50207	48543	53062	47728	47972	58048	48094	50056	54083	47994	69395	62529	48517	49312	53334	61792	49268	53039	55887	52349	48959	56442	178624	
158286	54566	48964	62144	47473	54972	68323	51049	48989	49522	51668	49373	50843	49177	53817	50990	48715	48406	61697	48554	48828	47814	50094	48798	55814	66970	61108	61118	63566	65002	50163	51723	46417	51308	57472	49535	48213	59420	51556	49451	61826	48106	50502	49264	58716	48524	48288	69392	52540	69769	50069	57289	48493	48349	51198	51125	54852	53746	62844	58518	48560	58731	68645	49020	55572	56636	51608	48108	48606	48344	61484	48185	49695	53378	52044	54760	175379	
141588	54719	56194	60148	49734	49388	47706	72750	50581	63842	51850	49266	57061	59810	59153	48116	49470	48476	48486	47918	55736	48961	54051	48786	57032	51518	50463	53841	48259	48076	58423	55075	49079	50187	50787	48376	52609	60433	73086	51093	49080	51182	55422	49288	49733	55723	61630	48459	58691	49063	63399	53659	49459	49904	55074	59406	51408	53898	50312	59158	54772	48387	56726	56412	50357	48664	51569	49267	47721	48893	50995	58763	49202	50040	47933	50405	166292	
140912	49414	49970	57104	50427	47859	59441	51081	50486	50389	49293	60570	51251	48898	47861	49006	70005	58748	49180	49622	52989	68265	49203	47907	57698	49252	65671	49250	52294	57600	53645	49999	56120	52924	52409	47990	54376	60894	48167	50299	48107	50110	60186	54490	58648	50142	51325	66412	54179	51136	48811	49511	56143	49356	59179	61791	49129	58455	50030	49280	50378	48991	49133	50227	49163	49917	48905	51116	48080	51602	48801	49034	50202	57908	52073	50859	195815	
167630	63173	49451	49254	70592	51531	49808	53436	50363	72458	48300	49164	51459	48077	55360	53348	48507	49939	59162	48947	48590	50907	59310	50769	56448	50954	48043	60578	50156	55665	49282	51227	56732	51372	60441	64476	54823	49085	49190	49732	49744	48023	50189	49493	67519	49214	53678	57369	48685	49940	55611	49819	48435	49500	49010	48119	54394	49031	50965	52894	52849	58217	49959	54786	49084	58015	51097	57111	48457	48988	48026	60257	63384	49853	51785	58588	176750	
155967	50154	49529	47885	49816	48591	48917	49434	54462	48967	61486	76450	57622	50091	49126	48437	47887	49604	56981	48005	48884	55465	73390	51345	54737	49064	47914	50518	48308	46805	47968	57227	47961	52028	58112	48740	58908	50420	66033	51382	58181	48232	61518	54403	62727	49397	49216	54049	53911	49936	57437	50020	61691	49050	48067	55066	48152	50612	49756	54645	50681	51794	54634	46577	50369	48783	48334	47803	47410	58823	47023	49385	48768	50751	58554	48399	163642	
