t	integral	norm	uniform_integral	uniform_norm	time
-1	0.000195973	4.13383e-13	0.000195973	1.00437e-13	96281
-0.997337	0.000195973	1.30509e-13	0.000195973	1.00437e-13	11780
-0.994674	0.000195973	2.82196e-13	0.000195973	1.00437e-13	13047
-0.992011	0.000195973	1.24031e-13	0.000195973	1.00437e-13	13343
-0.989348	0.000195973	9.60435e-14	0.000195973	1.00437e-13	12740
-0.986684	0.000195973	1.71368e-13	0.000195973	1.00437e-13	14966
-0.984021	0.000195973	1.58731e-13	0.000195973	1.00437e-13	12148
-0.981358	0.000195973	9.05019e-14	0.000195973	1.00437e-13	12717
-0.978695	0.000195973	6.0002e-14	0.000195973	1.00437e-13	12758
-0.976032	0.000195973	1.02481e-13	0.000195973	1.00437e-13	13044
-0.973369	0.000195973	1.05408e-13	0.000195973	1.00437e-13	15269
-0.970706	0.000195973	2.63921e-13	0.000195973	1.00437e-13	14411
-0.968043	0.000195973	1.85831e-13	0.000195973	1.00437e-13	14059
-0.965379	0.000195973	6.72207e-14	0.000195973	1.00437e-13	13806
-0.962716	0.000195973	1.10019e-13	0.000195973	1.00437e-13	13096
-0.960053	0.000195973	6.14866e-14	0.000195973	1.00437e-13	13979
-0.95739	0.000195973	1.09882e-13	0.000195973	1.00437e-13	13616
-0.954727	0.000195973	3.24272e-13	0.000195973	1.00437e-13	12845
-0.952064	0.000195973	1.75491e-13	0.000195973	1.00437e-13	14212
-0.949401	0.000195973	1.85179e-13	0.000195973	1.00437e-13	12383
-0.946738	0.000195973	6.77077e-14	0.000195973	1.00437e-13	12118
-0.944075	0.000195973	9.37117e-14	0.000195973	1.00437e-13	12102
-0.941411	0.000195973	5.73062e-14	0.000195973	1.00437e-13	13991
-0.938748	0.000195973	7.1743e-14	0.000195973	1.00437e-13	17446
-0.936085	0.000195973	1.67065e-13	0.000195973	1.00437e-13	13222
-0.933422	0.000195973	3.28351e-13	0.000195973	1.00437e-13	15614
-0.930759	0.000195973	1.19688e-13	0.000195973	1.00437e-13	15745
-0.928096	0.000195973	5.16405e-14	0.000195973	1.00437e-13	17567
-0.925433	0.000195973	1.96077e-13	0.000195973	1.00437e-13	15603
-0.92277	0.000195973	2.11275e-13	0.000195973	1.00437e-13	12734
-0.920107	0.000195973	8.00513e-14	0.000195973	1.00437e-13	13218
-0.917443	0.000195973	7.38247e-14	0.000195973	1.00437e-13	12273
-0.91478	0.000195973	9.73034e-14	0.000195973	1.00437e-13	11863
-0.912117	0.000195973	1.05672e-13	0.000195973	1.00437e-13	11898
-0.909454	0.000195973	7.58021e-14	0.000195973	1.00437e-13	12561
-0.906791	0.000195973	6.61167e-14	0.000195973	1.00437e-13	12176
-0.904128	0.000195973	5.68084e-14	0.000195973	1.00437e-13	11998
-0.901465	0.000195973	1.02186e-13	0.000195973	1.00437e-13	12541
-0.898802	0.000195973	1.74505e-13	0.000195973	1.00437e-13	13388
-0.896138	0.000195973	1.59474e-13	0.000195973	1.00437e-13	12411
-0.893475	0.000195973	1.21053e-13	0.000195973	1.00437e-13	14174
-0.890812	0.000195973	1.5453e-13	0.000195973	1.00437e-13	15226
-0.888149	0.000195973	6.43066e-14	0.000195973	1.00437e-13	13291
-0.885486	0.000195973	1.57029e-13	0.000195973	1.00437e-13	13106
