t	integral	norm	uniform_integral	uniform_norm	time
-1	0.0346529	0.00486214	0.000744086	8.85753e-05	95762
-0.997337	0.0067445	0.000752139	0.000744086	8.85753e-05	22260
-0.994674	0.0070064	0.000786929	0.000744086	8.85753e-05	21633
-0.992011	0.007002	0.000790471	0.000744086	8.85753e-05	22361
-0.989348	0.00692729	0.000785305	0.000744086	8.85753e-05	23462
-0.986684	0.00682952	0.000777003	0.000744086	8.85753e-05	22754
-0.984021	0.00672488	0.000767533	0.000744086	8.85753e-05	22958
-0.981358	0.00661989	0.000757722	0.000744086	8.85753e-05	22646
-0.978695	0.00651734	0.000747945	0.000744086	8.85753e-05	21611
-0.976032	0.0064184	0.000738381	0.000744086	8.85753e-05	21792
-0.973369	0.00632353	0.000729113	0.000744086	8.85753e-05	21914
-0.970706	0.0062328	0.000720173	0.000744086	8.85753e-05	21771
-0.968043	0.00614611	0.000711571	0.000744086	8.85753e-05	21702
-0.965379	0.00606327	0.0007033	0.000744086	8.85753e-05	22229
-0.962716	0.00598408	0.000695349	0.000744086	8.85753e-05	23652
-0.960053	0.00590829	0.000687703	0.000744086	8.85753e-05	23692
-0.95739	0.00583569	0.000680344	0.000744086	8.85753e-05	21829
-0.954727	0.00576605	0.000673254	0.000744086	8.85753e-05	21932
-0.952064	0.00569918	0.000666419	0.000744086	8.85753e-05	21969
-0.949401	0.00563489	0.000659821	0.000744086	8.85753e-05	22257
-0.946738	0.00557299	0.000653445	0.000744086	8.85753e-05	21835
-0.944075	0.00551335	0.000647279	0.000744086	8.85753e-05	21942
-0.941411	0.00545579	0.000641307	0.000744086	8.85753e-05	21533
-0.938748	0.0054002	0.000635519	0.000744086	8.85753e-05	22451
-0.936085	0.00534645	0.000629904	0.000744086	8.85753e-05	22933
-0.933422	0.00529442	0.00062445	0.000744086	8.85753e-05	21781
-0.930759	0.00524401	0.000619149	0.000744086	8.85753e-05	21749
-0.928096	0.00519513	0.000613992	0.000744086	8.85753e-05	21970
-0.925433	0.00514769	0.000608971	0.000744086	8.85753e-05	21763
-0.92277	0.0051016	0.000604077	0.000744086	8.85753e-05	21439
-0.920107	0.00505679	0.000599305	0.000744086	8.85753e-05	21804
-0.917443	0.00501319	0.000594647	0.000744086	8.85753e-05	21592
-0.91478	0.00497074	0.000590098	0.000744086	8.85753e-05	22817
-0.912117	0.00492937	0.000585652	0.000744086	8.85753e-05	22206
-0.909454	0.00488904	0.000581304	0.000744086	8.85753e-05	21722
-0.906791	0.00484968	0.000577049	0.000744086	8.85753e-05	21620
-0.904128	0.00481126	0.000572883	0.000744086	8.85753e-05	21665
-0.901465	0.00477373	0.000568802	0.000744086	8.85753e-05	21717
-0.898802	0.00473704	0.000564801	0.000744086	8.85753e-05	22871
-0.896138	0.00470116	0.000560877	0.000744086	8.85753e-05	23527
-0.893475	0.00466605	0.000557026	0.000744086	8.85753e-05	22498
-0.890812	0.00463167	0.000553246	0.000744086	8.85753e-05	22952
-0.888149	0.004598	0.000549533	0.000744086	8.85753e-05	22765
-0.885486	0.004565	0.000545885	0.000744086	8.85753e-05	22365
-0.882823	0.00453265	0.000542299	0.000744086	8.85753e-05	22119
-0.88016	0.00450092	0.000538771	0.000744086	8.85753e-05	21980
-0.877497	0.00446978	0.000535301	0.000744086	8.85753e-05	21955
-0.874834	0.00443921	0.000531886	0.000744086	8.85753e-05	21878
-0.87217	0.00440919	0.000528523	0.000744086	8.85753e-05	21965
-0.869507	0.00437969	0.000525211	0.000744086	8.85753e-05	21762
-0.866844	0.00435071	0.000521948	0.000744086	8.85753e-05	22645
-0.864181	0.00432221	0.000518732	0.000744086	8.85753e-05	22544
-0.861518	0.00429418	0.000515561	0.000744086	8.85753e-05	21429
-0.858855	0.0042666	0.000512434	0.000744086	8.85753e-05	21626
-0.856192	0.00423946	0.000509349	0.000744086	8.85753e-05	21644
-0.853529	0.00421274	0.000506305	0.000744086	8.85753e-05	21792
-0.850866	0.00418643	0.000503301	0.000744086	8.85753e-05	21494
-0.848202	0.00416051	0.000500335	0.000744086	8.85753e-05	21749
-0.845539	0.00413497	0.000497406	0.000744086	8.85753e-05	21732
-0.842876	0.0041098	0.000494513	0.000744086	8.85753e-05	21803
-0.840213	0.00408498	0.000491654	0.000744086	8.85753e-05	24645
-0.83755	0.00406051	0.000488829	0.000744086	8.85753e-05	22278
-0.834887	0.00403637	0.000486037	0.000744086	8.85753e-05	22306
-0.832224	0.00401256	0.000483276	0.000744086	8.85753e-05	27284
-0.829561	0.00398906	0.000480546	0.000744086	8.85753e-05	21695
-0.826897	0.00396586	0.000477846	0.000744086	8.85753e-05	21721
-0.824234	0.00394296	0.000475176	0.000744086	8.85753e-05	21494
-0.821571	0.00392035	0.000472533	0.000744086	8.85753e-05	21957
-0.818908	0.00389801	0.000469918	0.000744086	8.85753e-05	21840
-0.816245	0.00387594	0.000467329	0.000744086	8.85753e-05	22707
-0.813582	0.00385413	0.000464767	0.000744086	8.85753e-05	22968
-0.810919	0.00383258	0.000462229	0.000744086	8.85753e-05	22241
-0.808256	0.00381128	0.000459717	0.000744086	8.85753e-05	21376
-0.805593	0.00379022	0.000457228	0.000744086	8.85753e-05	21270
-0.802929	0.0037694	0.000454763	0.000744086	8.85753e-05	22940
-0.800266	0.0037488	0.000452321	0.000744086	8.85753e-05	22080
-0.797603	0.00372843	0.000449901	0.000744086	8.85753e-05	22043
-0.79494	0.00370827	0.000447503	0.000744086	8.85753e-05	21772
-0.792277	0.00368833	0.000445126	0.000744086	8.85753e-05	22336
-0.789614	0.00366859	0.00044277	0.000744086	8.85753e-05	22800
