i	integral	norm	time
378	3.11979e-06	8.79181e-08	1.66068e+07
381	3.072e-06	8.65368e-08	1.67987e+07
384	3.02531e-06	8.51874e-08	1.68798e+07
387	2.97974e-06	8.38695e-08	1.69974e+07
390	2.93523e-06	8.2582e-08	1.71785e+07
393	2.89175e-06	8.13239e-08	1.73354e+07
396	2.84927e-06	8.00944e-08	1.74632e+07
399	2.80775e-06	7.88923e-08	1.78738e+07
402	2.76718e-06	7.77172e-08	1.79835e+07
405	2.72752e-06	7.65685e-08	1.80929e+07
408	2.68874e-06	7.54445e-08	1.80716e+07
411	2.65082e-06	7.43453e-08	1.83837e+07
414	2.61374e-06	7.327e-08	1.84566e+07
417	2.57747e-06	7.2218e-08	1.86109e+07
420	2.54197e-06	7.11878e-08	1.87481e+07
423	2.50727e-06	7.01805e-08	1.88196e+07
426	2.47329e-06	6.9194e-08	1.89973e+07
429	2.44004e-06	6.82282e-08	1.89297e+07
432	2.40748e-06	6.72823e-08	1.92151e+07
435	2.37562e-06	6.63562e-08	1.93848e+07
438	2.34441e-06	6.54488e-08	1.96125e+07
441	2.31385e-06	6.456e-08	1.96638e+07
444	2.28391e-06	6.36889e-08	1.98512e+07
447	2.2546e-06	6.28358e-08	1.98624e+07
450	2.22587e-06	6.19993e-08	1.97741e+07
453	2.19774e-06	6.11799e-08	1.97285e+07
456	2.17018e-06	6.03765e-08	1.99924e+07
459	2.14314e-06	5.95884e-08	2.00165e+07
462	2.11666e-06	5.8816e-08	2.02221e+07
465	2.09069e-06	5.80585e-08	1.97771e+07
468	2.06524e-06	5.73155e-08	1.9851e+07
471	2.04027e-06	5.65865e-08	1.99967e+07
474	2.01578e-06	5.58712e-08	2.01163e+07
477	1.99179e-06	5.51699e-08	2.04404e+07
480	1.96824e-06	5.44815e-08	2.09507e+07
483	1.94514e-06	5.38058e-08	2.10521e+07
486	1.92247e-06	5.31425e-08	2.11989e+07
489	1.90025e-06	5.24921e-08	2.124e+07
492	1.87841e-06	5.18525e-08	2.13383e+07
495	1.857e-06	5.12253e-08	2.10078e+07
498	1.83598e-06	5.06089e-08	2.10782e+07
501	1.81541e-06	5.00061e-08	2.11291e+07
