c	norm
0.05	0.0383667
0.06	0.0438627
0.13	0.0676524
0.14	0.0694102
0.15	0.0708557
0.16	0.0720163
0.17	0.0729178
0.18	0.0735841
0.19	0.0740374
0.2	0.0742983
0.21	0.00433946
0.22	0.00476951
0.23	0.00520506
0.24	0.00564318
0.25	0.00608096
0.26	0.00651555
0.27	0.00694419
0.28	0.00736424
0.29	0.0077732
0.3	0.00816876
0.31	0.00854879
0.32	0.00891134
0.33	0.0092547
0.34	0.00957744
0.35	0.00987831
0.36	0.0101563
0.37	0.0104108
0.38	0.0106413
0.39	0.0108475
0.4	0.0110296
0.41	0.0584639
0.42	0.0573338
0.43	0.0561989
0.44	0.055061
0.45	0.0375203
0.46	0.0358303
0.47	0.0341677
0.48	0.0325364
0.49	0.03094
0.5	0.029382
0.51	0.0278657
0.52	0.0263941
0.53	0.0249699
0.54	0.0235957
0.55	0.0222737
0.56	0.0210061
0.57	0.0197946
0.58	0.0186408
0.59	0.0244135
0.6	0.0230379
0.61	0.0198679
0.62	0.0187317
0.63	0.0176343
0.64	0.017601
0.65	0.016522
0.66	0.0154841
0.67	0.0184951
0.68	0.0173091
0.69	0.0161574
0.7	0.0150433
0.71	0.0139696
0.72	0.0129397
0.73	0.0144257
0.74	0.0137481
0.75	0.0126575
0.76	0.0116085
0.77	0.0122706
0.78	0.010896
0.79	0.00990083
0.8	0.0103852
0.81	0.00946204
0.82	0.00848187
0.83	0.00846061
0.84	0.00750864
0.85	0.00752205
0.86	0.0064179
0.87	0.00557501
0.88	0.00540845
0.89	0.004612
0.9	0.00426669
0.91	0.00389872
0.92	0.00328347
0.93	0.00282263
0.94	0.00219323
0.95	0.00183151
0.96	0.00124302
0.97	0.000760979
0.98	0.000343363
0.99	0.000111993
1	0.00066784
1.01	0.00101085
1.02	0.001387
1.03	0.00173791
1.04	0.00239469
1.05	0.002746
1.06	0.00306239
1.07	0.00326062
1.08	0.0036213
1.09	0.0037274
1.1	0.00493767
1.11	0.00517508
1.12	0.00544824
1.13	0.00566419
1.14	0.00582408
1.15	0.00582096
1.16	0.00591513
1.17	0.00598618
1.18	0.0064699
1.19	0.00653057
1.2	0.00626377
1.21	0.00633615
1.22	0.00632799
1.23	0.0063072
1.24	0.00627508
1.25	0.00884271
1.26	0.00886745
1.27	0.00887868
1.28	0.00887752
1.29	0.00886511
1.3	0.0088425
1.31	0.00881064
1.32	0.00877044
1.33	0.00872273
1.34	0.00866829
1.35	0.00860783
1.36	0.008542
1.37	0.00847142
1.38	0.0083966
1.39	0.0083181
1.4	0.00823635
1.41	0.00815177
1.42	0.00806475
1.43	0.00797565
1.44	0.00788478
1.45	0.00779245
1.46	0.00769891
1.47	0.00760441
1.48	0.00750916
1.49	0.00741338
1.5	0.00731724
1.51	0.00722092
1.52	0.00712454
1.53	0.00702826
1.54	0.0069322
1.55	0.00683646
1.56	0.00674116
1.57	0.00664637
1.58	0.00655217
1.59	0.00645865
1.6	0.00636586
1.61	0.00627386
1.62	0.00618271
1.63	0.00609245
1.64	0.00600311
1.65	0.00591474
1.66	0.00582736
1.67	0.00574101
1.68	0.00565569
1.69	0.00557143
1.7	0.00548825
1.71	0.00540616
1.72	0.00532517
1.73	0.00524528
1.74	0.0051665
1.75	0.00508884
1.76	0.00501229
1.77	0.00493686
1.78	0.00486254
1.79	0.00478933
1.8	0.00471722
1.81	0.00464622
1.82	0.00457631
1.83	0.00450748
1.84	0.00443973
1.85	0.00437305
1.86	0.00430743
1.87	0.00424285
1.88	0.00417931
1.89	0.00411679
1.9	0.00405529
1.91	0.00399479
1.92	0.00393528
1.93	0.00387674
1.94	0.00381917
1.95	0.00376255
1.96	0.00370687
1.97	0.0036521
1.98	0.00359825
1.99	0.00354529
2	0.00349322
2.02	0.00339167
2.04	0.00329349
2.06	0.00319857
2.08	0.00310682
2.1	0.00301811
2.12	0.00293236
2.14	0.00284945
