c	norm
0.05	0.232386
0.06	0.26464
0.13	0.392996
0.14	0.400386
0.15	0.405695
0.16	0.409113
0.17	0.41082
0.18	0.410986
0.19	0.40977
0.2	0.407323
0.21	0.0236238
0.22	0.0258218
0.23	0.0280195
0.24	0.030199
0.25	0.0323428
0.26	0.034434
0.27	0.0364565
0.28	0.0383949
0.29	0.0402355
0.3	0.0419655
0.31	0.0435739
0.32	0.0450511
0.33	0.0463896
0.34	0.0475835
0.35	0.0486291
0.36	0.0495247
0.37	0.0502704
0.38	0.0508687
0.39	0.0513242
0.4	0.0516433
0.41	0.249297
0.42	0.241681
0.43	0.234262
0.44	0.227043
0.45	0.138201
0.46	0.129039
0.47	0.120262
0.48	0.111885
0.49	0.10392
0.5	0.096379
0.51	0.089271
0.52	0.0826035
0.53	0.0763825
0.54	0.0706121
0.55	0.0652951
0.56	0.0604322
0.57	0.0560224
0.58	0.0520624
0.59	0.0743926
0.6	0.0688676
0.61	0.0589274
0.62	0.0546703
0.63	0.0507006
0.64	0.0515057
0.65	0.0476322
0.66	0.0440624
0.67	0.0555763
0.68	0.0511069
0.69	0.0468877
0.7	0.0429354
0.71	0.0392665
0.72	0.0358972
0.73	0.041815
0.74	0.0397862
0.75	0.0359709
0.76	0.0324371
0.77	0.0354146
0.78	0.030855
0.79	0.0275591
0.8	0.0299505
0.81	0.0266094
0.82	0.0233653
0.83	0.0237211
0.84	0.0205438
0.85	0.0210522
0.86	0.0173512
0.87	0.0146064
0.88	0.0142198
0.89	0.0115622
0.9	0.0104786
0.91	0.00916749
0.92	0.00697058
0.93	0.00526328
0.94	0.00320518
0.95	0.00220908
0.96	0.00277406
0.97	0.00448854
0.98	0.00693638
0.99	0.00900818
1	0.0141255
1.01	0.0147127
1.02	0.0167449
1.03	0.0187939
1.04	0.0243734
1.05	0.0266033
1.06	0.028632
1.07	0.0295771
1.08	0.0322605
1.09	0.0325138
1.1	0.0434629
1.11	0.0449096
1.12	0.0467226
1.13	0.0480847
1.14	0.0488564
1.15	0.0482429
1.16	0.0484503
1.17	0.0484636
1.18	0.0523593
1.19	0.0522649
1.2	0.0493284
1.21	0.0495478
1.22	0.0489109
1.23	0.0481832
1.24	0.0473783
1.25	0.0697942
1.26	0.0693343
1.27	0.0687653
1.28	0.0680996
1.29	0.0673489
1.3	0.0665237
1.31	0.065634
1.32	0.0646887
1.33	0.0636962
