c	norm
0.14	100564
0.15	95162.4
0.16	89788.3
0.17	84534
0.18	79467.7
0.19	74638.2
0.2	70078.3
0.21	7360.94
0.22	7540.03
0.23	7666.34
0.24	7742.38
0.25	7771.74
0.26	7758.95
0.27	7709.38
0.28	7629.03
0.29	7524.47
0.3	7402.64
0.31	7270.67
0.32	7135.73
0.33	7004.79
0.34	6884.39
0.35	6780.39
0.36	6697.69
0.37	6640.01
0.38	6609.76
0.39	6607.89
0.4	6633.98
0.41	26351.6
0.42	25511
0.43	24704.6
0.44	23928.8
0.45	7836.45
0.46	7229.26
0.47	6702.52
0.48	6252.39
0.49	5875.03
0.5	5566.37
0.51	5322.01
0.52	5136.99
0.53	5005.84
0.54	4922.51
0.55	4880.62
0.56	4873.58
0.57	4894.87
0.58	4938.21
0.59	4530.76
0.6	4281.76
0.61	3943.86
0.62	3834.01
0.63	3763.82
0.64	3861.51
0.65	3819.22
0.66	3808.21
0.67	3582.25
0.68	3385.08
0.69	3238.56
0.7	3137.76
0.71	3075.95
0.72	3045.08
0.73	2785.35
0.74	2720.26
0.75	2600.77
0.76	2519.85
0.77	2324.2
0.78	2152.24
0.79	2051.46
0.8	1923.03
0.81	1770.6
0.82	1651.39
0.83	1477.12
0.84	1337.98
0.85	1222.57
0.86	1042.58
0.87	923.647
0.88	765.129
0.89	638.945
0.9	478.076
0.91	333.594
0.92	222.335
0.93	117.264
0.94	150.744
0.95	273.187
0.96	364.302
0.97	464.115
0.98	639.782
0.99	702.658
1	1241.13
1.01	1006.51
1.02	1025.44
1.03	1062.15
1.04	1500.74
1.05	1534.41
1.06	1513.5
1.07	1390.66
1.08	1504.69
1.09	1339.2
1.1	2302.32
1.11	2222.02
1.12	2278.87
1.13	2208.74
1.14	2110.59
1.15	1872.05
1.16	1770.59
1.17	1670.23
1.18	2021.89
1.19	1922.07
1.2	1598.64
1.21	1542.23
1.22	1453.5
1.23	1368.99
1.24	1288.81
1.25	2734.93
1.26	2619.56
1.27	2507.04
1.28	2397.76
1.29	2292
1.3	2189.95
1.31	2091.73
1.32	1997.41
1.33	1907
1.34	1820.48
1.35	1737.79
1.36	1658.86
1.37	1583.6
1.38	1511.88
1.39	1443.59
1.4	1378.59
1.41	1316.77
1.42	1257.98
1.43	1202.1
1.44	1148.98
1.45	1098.5
1.46	1050.53
1.47	1004.95
1.48	961.631
1.49	920.466
1.5	881.342
1.51	844.154
1.52	808.799
1.53	775.182
1.54	743.21
1.55	712.797
1.56	683.859
1.57	656.319
1.58	630.101
1.59	605.136
1.6	581.357
1.61	558.701
1.62	537.109
1.63	516.524
1.64	496.893
1.65	478.167
1.66	460.297
1.67	443.24
1.68	426.953
1.69	411.397
1.7	396.534
1.71	382.328
1.72	368.746
1.73	355.756
1.74	343.329
1.75	331.436
1.76	320.051
1.77	309.148
1.78	298.704
1.79	288.696
1.8	279.104
1.81	269.906
1.82	261.085
1.83	252.621
1.84	244.498
1.85	236.701
1.86	229.212
1.87	222.02
1.88	215.108
1.89	208.465
1.9	202.078
1.91	195.936
1.92	190.028
1.93	184.342
1.94	178.869
1.95	173.601
1.96	168.526
1.97	163.638
1.98	158.928
1.99	154.389
2	150.012
2.02	141.721
2.04	134.002
2.06	126.81
2.08	120.101
2.1	113.838
2.12	107.985
2.14	102.51
2.16	97.3838
2.18	92.5807
2.2	88.076
2.22	83.8478
2.24	79.8757
2.26	76.1412
2.28	72.6274
2.3	69.3187
2.32	66.2007
2.34	63.2603
2.36	60.4853
2.38	57.8646
2.4	55.388
2.42	53.0458
2.44	50.8294
2.46	48.7306
2.48	46.7419
2.5	44.8564
2.52	43.0677
2.54	41.3697
2.56	39.7568
2.58	38.2241
2.6	36.7666
2.62	35.3799
2.64	34.0598
2.66	32.8026
2.68	31.6045
2.7	30.4623
2.72	29.3727
2.74	28.3328
2.76	27.3399
2.78	26.3915
2.8	25.4851
2.82	24.6184
2.84	23.7894
2.86	22.996
2.88	22.2365
2.9	21.509
2.92	20.812
2.94	20.1438
2.96	19.503
2.98	18.8884
3	18.2984
3.02	17.7321
3.04	17.1882
3.06	16.6656
3.08	16.1634
3.1	15.6805
3.12	15.216
3.14	14.7692
3.16	14.3392
3.18	13.9252
3.2	13.5265
3.22	13.1424
3.24	12.7722
3.26	12.4154
3.28	12.0714
3.3	11.7396
3.32	11.4194
3.34	11.1104
3.36	10.8121
3.38	10.5241
3.4	10.2459
3.42	9.97709
3.44	9.71732
3.46	9.4662
3.48	9.22339
3.5	8.98855
3.52	8.76137
3.54	8.54153
3.56	8.32875
3.58	8.12275
3.6	7.92328
3.62	7.73007
3.64	7.54289
3.66	7.36151
3.68	7.18571
3.7	7.01528
3.72	6.85002
3.74	6.68974
3.76	6.53426
3.78	6.3834
3.8	6.23699
3.82	6.09488
3.84	5.95691
3.86	5.82293
3.88	5.69281
3.9	5.5664
3.92	5.44358
3.94	5.32422
3.96	5.20821
3.98	5.09543
4	4.98578
4.04	4.7754
4.08	4.57631
4.12	4.38775
4.16	4.20906
4.2	4.03961
4.24	3.87881
4.28	3.72615
4.32	3.58111
4.36	3.44323
4.4	3.31209
4.44	3.18729
4.48	3.06845
4.52	2.95524
4.56	2.84732
4.6	2.7444
4.64	2.64619
4.68	2.55244
4.72	2.4629
4.76	2.37734
4.8	2.29555
4.84	2.21733
4.88	2.14248
4.92	2.07083
4.96	2.00221
5	1.93648
5.04	1.87347
5.08	1.81306
5.12	1.75512
5.16	1.69952
5.2	1.64615
5.24	1.5949
5.28	1.54567
5.32	1.49836
5.36	1.45288
5.4	1.40915
5.44	1.36708
5.48	1.3266
5.52	1.28763
5.56	1.25011
5.6	1.21397
5.64	1.17916
5.68	1.1456
5.72	1.11325
5.76	1.08205
5.8	1.05196
5.84	1.02292
5.88	0.994899
5.92	0.967844
5.96	0.941717
6	0.916481
6.04	0.892098
6.08	0.868533
6.12	0.845754
6.16	0.823728
6.2	0.802426
6.24	0.781818
6.28	0.761878
6.32	0.742579
6.36	0.723897
6.4	0.705806
6.44	0.688286
6.48	0.671314
6.52	0.654869
6.56	0.638932
6.6	0.623483
