c	norm
0.14	1.39414
0.15	1.42317
0.16	1.44649
0.17	1.46459
0.18	1.47798
0.19	1.48708
0.2	1.49232
0.21	0.0871605
0.22	0.0957982
0.23	0.104547
0.24	0.113346
0.25	0.122139
0.26	0.130869
0.27	0.139478
0.28	0.147915
0.29	0.156129
0.3	0.164074
0.31	0.171707
0.32	0.178989
0.33	0.185886
0.34	0.192368
0.35	0.198411
0.36	0.203996
0.37	0.209107
0.38	0.213736
0.39	0.217879
0.4	0.221536
0.41	1.17428
0.42	1.15158
0.43	1.12879
0.44	1.10593
0.45	0.753615
0.46	0.719672
0.47	0.686277
0.48	0.65351
0.49	0.621446
0.5	0.590153
0.51	0.559698
0.52	0.53014
0.53	0.501534
0.54	0.473932
0.55	0.44738
0.56	0.421918
0.57	0.397585
0.58	0.374411
0.59	0.490359
0.6	0.462729
0.61	0.399058
0.62	0.376235
0.63	0.354194
0.64	0.353526
0.65	0.331853
0.66	0.311006
0.67	0.371486
0.68	0.347662
0.69	0.324531
0.7	0.302152
0.71	0.280588
0.72	0.259901
0.73	0.289747
0.74	0.276137
0.75	0.254233
0.76	0.233163
0.77	0.246461
0.78	0.218853
0.79	0.198863
0.8	0.208593
0.81	0.190051
0.82	0.170363
0.83	0.169936
0.84	0.150815
0.85	0.151084
0.86	0.128906
0.87	0.111977
0.88	0.108632
0.89	0.092635
0.9	0.0856991
0.91	0.0783074
0.92	0.0659505
0.93	0.0566935
0.94	0.0440522
0.95	0.0367869
0.96	0.0249668
0.97	0.0152841
0.98	0.00689665
0.99	0.00224997
1	0.0134011
1.01	0.0203038
1.02	0.0278584
1.03	0.0349061
1.04	0.0480984
1.05	0.0551543
1.06	0.0615094
1.07	0.0654914
1.08	0.0727353
1.09	0.0748666
1.1	0.0991754
1.11	0.103944
1.12	0.10943
1.13	0.113769
1.14	0.11698
1.15	0.116917
1.16	0.118809
1.17	0.120236
1.18	0.129952
1.19	0.13117
1.2	0.125811
1.21	0.127265
1.22	0.127101
1.23	0.126683
1.24	0.126038
1.25	0.177611
1.26	0.178108
1.27	0.178333
1.28	0.17831
1.29	0.178061
1.3	0.177606
1.31	0.176966
1.32	0.176159
1.33	0.175201
1.34	0.174107
1.35	0.172893
1.36	0.171571
