c	norm
0.14	1.47355e+08
0.15	1.34181e+08
0.16	1.26685e+08
0.17	1.2295e+08
0.18	1.21337e+08
0.19	1.20634e+08
0.2	1.20041e+08
0.21	6.57891e+07
0.22	6.42955e+07
0.23	6.22716e+07
0.24	5.9895e+07
0.25	5.73503e+07
0.26	5.48182e+07
0.27	5.24642e+07
0.28	5.04255e+07
0.29	4.87989e+07
0.3	4.76307e+07
0.31	4.69141e+07
0.32	4.65958e+07
0.33	4.65891e+07
0.34	4.67917e+07
0.35	4.71013e+07
0.36	4.74277e+07
0.37	4.76987e+07
0.38	4.78629e+07
0.39	4.7889e+07
0.4	4.77628e+07
0.41	5.89862e+07
0.42	5.72077e+07
0.43	5.54708e+07
0.44	5.37731e+07
0.45	3.06197e+07
0.46	3.06142e+07
0.47	3.06692e+07
0.48	3.07574e+07
0.49	3.08517e+07
0.5	3.09273e+07
0.51	3.09635e+07
0.52	3.09446e+07
0.53	3.08595e+07
0.54	3.07021e+07
0.55	3.04701e+07
0.56	3.01642e+07
0.57	2.97876e+07
0.58	2.93447e+07
0.59	2.29813e+07
0.6	2.29908e+07
0.61	2.29535e+07
0.62	2.28622e+07
0.63	2.27054e+07
0.64	2.24823e+07
0.65	2.21816e+07
0.66	2.18091e+07
0.67	1.81903e+07
0.68	1.80686e+07
0.69	1.78782e+07
0.7	1.76108e+07
0.71	1.72619e+07
0.72	1.68306e+07
0.73	1.45325e+07
0.74	1.42259e+07
0.75	1.38244e+07
0.76	1.33284e+07
0.77	1.16003e+07
0.78	1.11304e+07
0.79	1.05524e+07
0.8	9.11003e+06
0.81	8.47706e+06
0.82	7.71208e+06
0.83	6.4085e+06
0.84	5.50613e+06
0.85	4.23397e+06
0.86	3.15449e+06
0.87	1.94446e+06
0.88	874184
0.89	1.25881e+06
0.9	2.45217e+06
0.91	3.67801e+06
0.92	5.13853e+06
0.93	6.19587e+06
0.94	7.49337e+06
0.95	8.25797e+06
0.96	9.18576e+06
0.97	9.98248e+06
0.98	1.00669e+07
0.99	1.03084e+07
1	4.04531e+07
1.01	9.97621e+06
1.02	9.55502e+06
1.03	9.05303e+06
1.04	8.88624e+06
1.05	8.11844e+06
1.06	7.29225e+06
1.07	6.46531e+06
1.08	5.76778e+06
1.09	5.02028e+06
1.1	5.36199e+06
1.11	4.63482e+06
1.12	4.04145e+06
1.13	3.46167e+06
1.14	2.95455e+06
1.15	2.49864e+06
1.16	2.12384e+06
1.17	1.80295e+06
1.18	1.60414e+06
1.19	1.35945e+06
1.2	1.13521e+06
1.21	963516
1.22	817928
1.23	695062
1.24	591400
1.25	830654
1.26	717392
1.27	620576
1.28	537755
1.29	466835
1.3	406035
1.31	353841
1.32	308969
1.33	270331
1.34	237006
1.35	208213
1.36	183292
1.37	161681
1.38	142907
1.39	126566
1.4	112315
1.41	99864.9
1.42	88966.1
1.43	79407.6
1.44	71008.8
1.45	63615.1
1.46	57094.3
1.47	51332.8
1.48	46232.9
1.49	41710.7
1.5	37693.7
1.51	34119.2
1.52	30933.2
1.53	28088.6
1.54	25544.7
