c	norm
0.05	0.00479355
0.06	0.00567919
0.13	0.0113196
0.14	0.0120567
0.15	0.0127791
0.16	0.0134876
0.17	0.0141829
0.18	0.0148658
0.19	0.0155369
0.2	0.0161967
0.21	0.000851024
0.22	0.000962151
0.23	0.00108088
0.24	0.00120718
0.25	0.00134101
0.26	0.00148231
0.27	0.00163099
0.28	0.00178696
0.29	0.00195008
0.3	0.00212024
0.31	0.00229727
0.32	0.00248102
0.33	0.00267131
0.34	0.00286798
0.35	0.00307082
0.36	0.00327964
0.37	0.00349425
0.38	0.00371442
0.39	0.00393996
0.4	0.00417065
0.41	0.0281575
0.42	0.0286538
0.43	0.0291439
0.44	0.0296276
0.45	0.023858
0.46	0.0239026
0.47	0.0239253
0.48	0.0239264
0.49	0.0239062
0.5	0.023865
0.51	0.0238033
0.52	0.0237214
0.53	0.0236201
0.54	0.0234998
0.55	0.0233612
0.56	0.023205
0.57	0.0230321
0.58	0.0228432
0.59	0.0280774
0.6	0.0279364
0.61	0.0254621
0.62	0.025296
0.63	0.0251088
0.64	0.0255267
0.65	0.0253028
0.66	0.0250557
0.67	0.0290654
0.68	0.0287964
0.69	0.0284942
0.7	0.0281581
0.71	0.027788
0.72	0.0273834
0.73	0.0301591
0.74	0.0300279
0.75	0.029537
0.76	0.028998
0.77	0.0308998
0.78	0.0298375
0.79	0.0291646
0.8	0.0307168
0.81	0.0305885
0.82	0.029729
0.83	0.0305451
0.84	0.0295632
0.85	0.0302401
0.86	0.0288334
0.87	0.0276469
0.88	0.0279025
0.89	0.0265838
0.9	0.026384
0.91	0.026108
0.92	0.0255857
0.93	0.0248275
0.94	0.023186
0.95	0.0225044
0.96	0.0207471
0.97	0.0196062
0.98	0.0186424
0.99	0.0169757
1	0.0164358
1.01	0.0146422
1.02	0.0131059
1.03	0.0118068
1.04	0.0108366
1.05	0.00950671
1.06	0.00835864
1.07	0.00721132
1.08	0.00623663
1.09	0.00528808
1.1	0.00457947
1.11	0.00380304
1.12	0.00313268
1.13	0.00258451
1.14	0.00215243
1.15	0.00185774
1.16	0.00171104
1.17	0.00169983
1.18	0.00182356
1.19	0.00197905
1.2	0.00211948
1.21	0.00231697
1.22	0.00249716
1.23	0.0026677
1.24	0.00282619
1.25	0.00346548
1.26	0.00363597
1.27	0.00379394
1.28	0.00394025
1.29	0.00407581
1.3	0.00420157
1.31	0.00431839
1.32	0.00442709
1.33	0.00452844
1.34	0.00462311
1.35	0.0047117
1.36	0.00479477
1.37	0.0048728
1.38	0.00494623
1.39	0.00501542
1.4	0.00508072
1.41	0.00514244
1.42	0.00520082
1.43	0.00525611
1.44	0.0053085
1.45	0.00535816
1.46	0.00540523
1.47	0.00544969
