c	norm
0.05	0.0429869
0.06	0.0500366
0.13	0.0874533
0.14	0.0913171
0.15	0.0948616
0.16	0.098102
0.17	0.101053
0.18	0.10373
0.19	0.106144
0.2	0.108311
0.21	0.00537833
0.22	0.00598541
0.23	0.00661546
0.24	0.00726564
0.25	0.00793295
0.26	0.00861426
0.27	0.00930636
0.28	0.010006
0.29	0.0107098
0.3	0.0114144
0.31	0.0121166
0.32	0.0128131
0.33	0.0135007
0.34	0.0141763
0.35	0.0148369
0.36	0.0154797
0.37	0.0161019
0.38	0.0167012
0.39	0.0172752
0.4	0.0178219
0.41	0.113708
0.42	0.112664
0.43	0.111543
0.44	0.110347
0.45	0.0811422
0.46	0.0786047
0.47	0.0760258
0.48	0.0734147
0.49	0.0707803
0.5	0.0681313
0.51	0.0654765
0.52	0.0628245
0.53	0.0601837
0.54	0.0575623
0.55	0.0549683
0.56	0.0524096
0.57	0.0498936
0.58	0.0474275
0.59	0.0601665
0.6	0.0574078
0.61	0.0499021
0.62	0.0474888
0.63	0.0451069
0.64	0.0448918
0.65	0.0425138
0.66	0.0401744
0.67	0.0471432
0.68	0.044547
0.69	0.0419784
0.7	0.0394446
0.71	0.0369534
0.72	0.0345129
0.73	0.0378998
0.74	0.0362249
0.75	0.0336758
0.76	0.0311772
0.77	0.0325876
0.78	0.0292713
0.79	0.026851
0.8	0.0278018
0.81	0.0256505
0.82	0.0232462
0.83	0.0230438
0.84	0.0207017
0.85	0.0205344
0.86	0.0178319
0.87	0.0157122
0.88	0.0151736
0.89	0.0131707
0.9	0.0122154
0.91	0.0112317
0.92	0.00967389
0.93	0.00848226
0.94	0.00688164
0.95	0.00595538
0.96	0.00445298
0.97	0.00322287
0.98	0.00222507
0.99	0.00105781
1	1.25141e-09
1.01	0.00106934
1.02	0.00204372
1.03	0.00294825
1.04	0.00426762
1.05	0.0051504
1.06	0.00598278
1.07	0.00660735
1.08	0.00746376
1.09	0.00790927
1.1	0.0101812
1.11	0.0108618
1.12	0.0115516
1.13	0.0121938
1.14	0.0127224
1.15	0.012987
1.16	0.0133793
1.17	0.0137223
1.18	0.0147069
1.19	0.0150195
1.2	0.0147443
1.21	0.0150878
1.22	0.0152379
1.23	0.0153558
1.24	0.015444
1.25	0.0205347
1.26	0.0207842
1.27	0.0210017
1.28	0.0211892
1.29	0.0213486
1.3	0.0214817
1.31	0.0215903
1.32	0.0216761
1.33	0.0217406
1.34	0.0217853
1.35	0.0218116
1.36	0.0218208
1.37	0.0218142
1.38	0.0217929
1.39	0.021758
1.4	0.0217106
1.41	0.0216515
1.42	0.0215816
1.43	0.0215018
1.44	0.0214128
1.45	0.0213154
1.46	0.0212102
1.47	0.0210978
1.48	0.0209789
1.49	0.0208539
1.5	0.0207234
1.51	0.0205879
1.52	0.0204479
1.53	0.0203036
1.54	0.0201556
1.55	0.0200042
1.56	0.0198497
1.57	0.0196924
1.58	0.0195327
1.59	0.0193708
1.6	0.0192071
1.61	0.0190416
1.62	0.0188748
1.63	0.0187067
1.64	0.0185376
1.65	0.0183677
1.66	0.0181971
1.67	0.018026
1.68	0.0178546
1.69	0.017683
1.7	0.0175113
1.71	0.0173397
1.72	0.0171683
1.73	0.0169972
1.74	0.0168265
1.75	0.0166562
1.76	0.0164865
1.77	0.0163175
1.78	0.0161492
1.79	0.0159817
1.8	0.015815
1.81	0.0156493
1.82	0.0154845
1.83	0.0153208
1.84	0.0151581
1.85	0.0149966
1.86	0.0148362
1.87	0.014677
1.88	0.014519
1.89	0.0143622
1.9	0.0142068
1.91	0.0140526
1.92	0.0138998
1.93	0.0137483
1.94	0.0135981
1.95	0.0134493
1.96	0.0133019
1.97	0.0131559
1.98	0.0130113
1.99	0.0128682
2	0.0127264
2.02	0.0124471
2.04	0.0121736
2.06	0.0119057
2.08	0.0116436
2.1	0.0113871
2.12	0.0111363
2.14	0.010891
2.16	0.0106513
2.18	0.010417
2.2	0.0101881
2.22	0.00996454
2.24	0.00974615
2.26	0.0095329
2.28	0.00932468
2.3	0.0091214
2.32	0.00892296
2.34	0.00872927
2.36	0.00854024
2.38	0.00835575
2.4	0.00817571
2.42	0.00800002
2.44	0.00782859
2.46	0.00766131
2.48	0.0074981
2.5	0.00733884
2.52	0.00718345
2.54	0.00703183
2.56	0.0068839
2.58	0.00673955
2.6	0.00659871
2.62	0.00646128
2.64	0.00632717
2.66	0.00619631
2.68	0.00606861
2.7	0.00594398
2.72	0.00582236
2.74	0.00570366
2.76	0.00558781
2.78	0.00547473
2.8	0.00536435
2.82	0.00525661
2.84	0.00515143
2.86	0.00504874
2.88	0.00494848
2.9	0.00485059
2.92	0.00475501
2.94	0.00466167
2.96	0.00457052
2.98	0.0044815
3	0.00439455
3.02	0.00430963
3.04	0.00422666
3.06	0.00414562
3.08	0.00406644
3.1	0.00398908
3.12	0.00391349
3.14	0.00383962
3.16	0.00376743
3.18	0.00369688
3.2	0.00362793
3.22	0.00356052
3.24	0.00349463
3.26	0.00343022
3.28	0.00336724
3.3	0.00330566
3.32	0.00324545
3.34	0.00318656
3.36	0.00312897
3.38	0.00307264
3.4	0.00301755
3.42	0.00296365
3.44	0.00291093
3.46	0.00285934
3.48	0.00280887
3.5	0.00275948
3.52	0.00271115
3.54	0.00266385
3.56	0.00261756
3.58	0.00257224
3.6	0.00252789
3.62	0.00248446
3.64	0.00244195
3.66	0.00240033
3.68	0.00235957
3.7	0.00231966
3.72	0.00228057
3.74	0.00224229
3.76	0.00220479
3.78	0.00216806
3.8	0.00213208
3.82	0.00209683
3.84	0.0020623
3.86	0.00202846
3.88	0.0019953
3.9	0.00196281
3.92	0.00193096
3.94	0.00189975
3.96	0.00186916
3.98	0.00183917
4	0.00180977
4.04	0.00175269
4.08	0.00169781
4.12	0.00164504
4.16	0.00159427
4.2	0.00154543
4.24	0.00149842
4.28	0.00145316
4.32	0.00140958
4.36	0.0013676
4.4	0.00132715
4.44	0.00128818
4.48	0.00125061
4.52	0.00121438
4.56	0.00117945
4.6	0.00114575
4.64	0.00111323
4.68	0.00108185
4.72	0.00105156
4.76	0.00102231
4.8	0.000994059
4.84	0.000966771
4.88	0.000940406
4.92	0.000914927
4.96	0.000890298
5	0.000866485
5.04	0.000843458
5.08	0.000821185
5.12	0.000799637
5.16	0.000778786
5.2	0.000758605
5.24	0.00073907
5.28	0.000720155
5.32	0.000701837
5.36	0.000684094
5.4	0.000666905
5.44	0.000650249
5.48	0.000634107
5.52	0.000618459
5.56	0.000603289
5.6	0.000588577
5.64	0.00057431
5.68	0.000560469
5.72	0.00054704
5.76	0.000534009
5.8	0.000521362
5.84	0.000509085
5.88	0.000497165
5.92	0.000485591
5.96	0.000474349
6	0.00046343
6.04	0.000452821
6.08	0.000442513
6.12	0.000432495
6.16	0.000422757
6.2	0.000413291
6.24	0.000404087
6.28	0.000395137
6.32	0.000386432
6.36	0.000377964
6.4	0.000369726
6.44	0.000361711
6.48	0.00035391
6.52	0.000346318
6.56	0.000338927
6.6	0.000331732
6.64	0.000324726
6.68	0.000317904
6.72	0.000311258
6.76	0.000304785
6.8	0.000298479
6.84	0.000292334
6.88	0.000286346
6.92	0.00028051
6.96	0.000274822
7	0.000269276
