c	norm
0.14	0.00413103
0.15	0.00428566
0.16	0.00442596
0.17	0.00455265
0.18	0.00466645
0.19	0.00476804
0.2	0.0048581
0.21	0.000442235
0.22	0.000496154
0.23	0.00055265
0.24	0.000611485
0.25	0.000672402
0.26	0.000735122
0.27	0.000799352
0.28	0.000864785
0.29	0.000931104
0.3	0.000997984
0.31	0.0010651
0.32	0.00113211
0.33	0.0011987
0.34	0.00126455
0.35	0.00132933
0.36	0.00139273
0.37	0.00145447
0.38	0.00151427
0.39	0.00157186
0.4	0.00162701
0.41	0.00500412
0.42	0.00495962
0.43	0.00491229
0.44	0.00486224
0.45	0.00404852
0.46	0.00396304
0.47	0.00387555
0.48	0.00378627
0.49	0.00369544
0.5	0.00360329
0.51	0.00351006
0.52	0.003416
0.53	0.00332134
0.54	0.00322634
0.55	0.00313123
0.56	0.00303627
0.57	0.00294171
0.58	0.00284779
0.59	0.00329519
0.6	0.00319242
0.61	0.00305413
0.62	0.00295235
0.63	0.00284947
0.64	0.00282882
0.65	0.00272051
0.66	0.00261161
0.67	0.00277623
0.68	0.00266394
0.69	0.00255042
0.7	0.00243597
0.71	0.00232088
0.72	0.00220552
0.73	0.00225617
0.74	0.00216831
0.75	0.00204974
0.76	0.00193071
0.77	0.00191499
0.78	0.00178669
0.79	0.0016684
0.8	0.00164049
0.81	0.00152013
0.82	0.00140214
0.83	0.00134073
0.84	0.00122454
0.85	0.00116166
0.86	0.00104249
0.87	0.000931892
0.88	0.000863263
0.89	0.000757823
0.9	0.000683143
0.91	0.000606001
0.92	0.000515871
0.93	0.00044014
0.94	0.000356117
0.95	0.000290753
0.96	0.000215124
0.97	0.000147473
0.98	8.89129e-05
0.99	2.90507e-05
1	3.20161e-05
1.01	8.17324e-05
1.02	0.000130535
1.03	0.000175611
1.04	0.000233653
1.05	0.000276647
1.06	0.000315503
1.07	0.000347353
1.08	0.000385508
1.09	0.000408784
1.1	0.000494913
1.11	0.000525876
1.12	0.000557953
1.13	0.000585094
1.14	0.000608325
1.15	0.000621245
1.16	0.000638162
1.17	0.000652452
1.18	0.00069146
1.19	0.000703526
1.2	0.000693609
1.21	0.000704797
1.22	0.000709148
1.23	0.000711713
1.24	0.000712626
1.25	0.000912078
1.26	0.000921733
1.27	0.00092997
1.28	0.000936878
1.29	0.000942543
1.3	0.000947055
1.31	0.000950496
1.32	0.000952937
1.33	0.00095445
1.34	0.000955105
1.35	0.000954967
1.36	0.000954097
1.37	0.000952549
1.38	0.000950374
1.39	0.000947622
1.4	0.000944339
1.41	0.000940572
1.42	0.000936353
1.43	0.000931724
1.44	0.000926716
1.45	0.000921364
1.46	0.000915696
1.47	0.000909742
1.48	0.000903526
1.49	0.00089707
1.5	0.000890402
1.51	0.000883538
1.52	0.0008765
1.53	0.000869304
1.54	0.000861967
1.55	0.000854509
1.56	0.000846938
1.57	0.000839273
1.58	0.000831526
1.59	0.000823706
1.6	0.000815827
1.61	0.000807898
1.62	0.000799929
1.63	0.00079193
1.64	0.000783907
1.65	0.000775869
1.66	0.000767823
1.67	0.000759777
1.68	0.000751735
1.69	0.000743705
1.7	0.000735691
1.71	0.000727698
1.72	0.000719732
1.73	0.000711796
1.74	0.000703894
1.75	0.00069603
1.76	0.000688208
1.77	0.00068043
1.78	0.000672701
1.79	0.000665021
1.8	0.000657393
1.81	0.00064982
1.82	0.000642305
1.83	0.000634847
1.84	0.000627451
1.85	0.000620115
1.86	0.000612844
1.87	0.000605637
1.88	0.000598495
1.89	0.000591419
1.9	0.000584411
1.91	0.000577472
1.92	0.000570601
1.93	0.0005638
1.94	0.000557068
1.95	0.000550405
1.96	0.000543815
1.97	0.000537293
1.98	0.000530845
1.99	0.000524466
2	0.000518157
2.02	0.000505755
2.04	0.000493634
2.06	0.000481794
2.08	0.000470235
2.1	0.00045895
2.12	0.000447939
2.14	0.000437197
2.16	0.00042672
2.18	0.000416505
2.2	0.000406545
2.22	0.000396838
2.24	0.000387378
2.26	0.00037816
2.28	0.000369179
2.3	0.000360429
2.32	0.000351907
2.34	0.000343607
2.36	0.000335522
2.38	0.000327649
2.4	0.000319983
2.42	0.000312517
2.44	0.000305247
2.46	0.000298169
2.48	0.000291276
2.5	0.000284566
2.52	0.000278032
2.54	0.000271669
2.56	0.000265474
