func	1square	1sh	3sh
{$2x+y$}	1.5902e-09	1.52105e-09	4.21164e-09
{$3x^2+y^2$}	3.30138e-09	3.40968e-09	2.17815
{$x^3+xy^2+y^3$}	2.40588e-09	1.25141e-09	1.6447
{$x^4+y^4$}	0.00866657	0.00616553	2.52251
{$x^5+y^5+2xy$}	0.0218885	0.0141255	3.85816
{$e^{x+y}$}	0.00104011	0.00066784	1.60581
{$e^{x^2+y^2}$}	0.0230448	0.0127596	5.6714
{$e^{x^3+yx^2}$}	0.0916315	0.0560747	15.1083
{$sin x + cos y$}	0.000239873	0.000176764	0.311658
{$sqrt{x^2+y^2}$}	0.00474574	0.00459171	1.02533
{$x^{1.2}+y^{1.5}$}	0.0188285	0.0164358	nan
