size	norm
3	1.63013e+07
4	8.67748e+06
5	7.18549e+07
6	1.37427e+07
7	643642
8	4.58527e+07
9	4.9711e+07
10	3.30624e+06
11	3.49382e+06
12	6.05833e+07
13	4.86444e+07
14	4.77145e+07
15	4.69025e+07
16	3.71601e+07
17	5.28211e+07
18	5.00283e+07
19	9.89729e+06
20	4.04531e+07
21	1.29176e+07
22	1.16288e+07
23	4.20401e+07
24	3.5982e+07
25	1.19384e+07
26	1.16796e+07
27	1.2761e+07
28	3.23531e+07
29	1.2648e+07
30	1.26086e+07
31	1.41411e+07
32	3.20936e+07
33	3.09686e+07
34	2.98824e+07
35	2.89191e+07
36	2.80151e+07
37	2.8104e+07
38	2.52597e+07
39	1.26929e+07
40	2.56377e+07
41	2.49219e+07
42	1.19536e+07
43	2.42783e+07
44	1.1723e+07
45	2.16532e+07
46	2.24207e+07
47	1.16334e+07
48	2.06054e+07
49	2.01441e+07
50	1.18278e+07
51	1.13833e+07
52	2.03658e+07
53	1.99092e+07
54	1.84623e+07
55	1.09032e+07
56	1.8644e+07
57	1.86392e+07
58	1.07466e+07
59	1.78755e+07
60	1.75262e+07
61	1.71881e+07
62	1.09274e+07
63	1.68541e+07
64	1.65292e+07
65	1.62304e+07
66	1.59402e+07
67	1.59288e+07
68	1.0365e+07
69	1.53695e+07
70	9.75812e+06
71	1.48594e+07
72	1.4847e+07
73	1.46046e+07
74	9.4926e+06
75	9.40031e+06
76	1.00154e+07
77	1.39036e+07
78	1.31908e+07
79	1.34799e+07
80	9.06401e+06
81	1.23675e+07
82	9.00258e+06
83	8.9221e+06
84	1.2296e+07
85	1.25609e+07
86	1.24077e+07
87	8.7214e+06
88	8.664e+06
89	8.86446e+06
90	8.81939e+06
91	1.19451e+07
92	1.19524e+07
93	8.82411e+06
94	1.18794e+07
95	8.88571e+06
96	8.71793e+06
97	9.05616e+06
98	1.23052e+07
99	1.25597e+07
100	9.84176e+06
101	1.05806e+07
102	1.03502e+07
103	1.48362e+07
104	1.58477e+07
105	1.73945e+07
106	1.91941e+07
107	1.50718e+07
108	2.2159e+07
109	1.90868e+07
110	2.81055e+07
111	2.87244e+07
112	3.33568e+07
113	3.81108e+07
114	3.34848e+07
115	3.84987e+07
116	5.58672e+07
117	5.80274e+07
118	6.6466e+07
119	7.42132e+07
120	8.43908e+07
