t	norma	normb	norm
0.14	2.64212	7.66202	0.0530631
0.141	2.61872	7.57203	0.0530631
0.142	2.59545	7.48303	0.0530631
0.143	2.57235	7.39499	0.0530631
0.144	2.54943	7.30792	0.0530631
0.145	2.52661	7.2218	0.0530631
0.146	2.50399	7.13664	0.0530631
0.147	2.48151	7.05236	0.0530631
0.148	2.45917	6.96901	0.0530631
0.149	2.43699	6.88657	0.0530631
0.15	2.41496	6.80501	0.0530631
0.151	2.39308	6.72433	0.0530631
0.152	2.37137	6.6445	0.0530631
0.153	2.34982	6.56551	0.0530631
0.154	2.32841	6.48737	0.0530631
0.155	2.3072	6.41007	0.0530631
0.156	2.28609	6.33357	0.0530631
0.157	2.26512	6.25787	0.0530631
0.158	2.24433	6.18297	0.0530631
0.159	2.22363	6.10887	0.0530631
0.16	2.20309	6.03554	0.0530631
0.161	2.18269	5.96297	0.0530631
0.162	2.16243	5.89115	0.0530631
0.163	2.14228	5.82008	0.0530631
0.164	2.12231	5.74975	0.0530631
0.165	2.10244	5.68013	0.0530631
0.166	2.08271	5.61122	0.0530631
0.167	2.06308	5.54305	0.0530631
0.168	2.04362	5.47555	0.0530631
0.169	2.02431	5.40874	0.0530631
0.17	2.00511	5.34261	0.0530631
0.171	1.98605	5.27718	0.0530631
0.172	1.96709	5.2124	0.0530631
0.173	1.94827	5.14827	0.0530631
0.174	1.92956	5.08479	0.0530631
0.175	1.911	5.02195	0.0530631
0.176	1.89255	4.95972	0.0530631
0.177	1.87421	4.89815	0.0530631
0.178	1.85595	4.83719	0.0530631
0.179	1.83784	4.77683	0.0530631
0.18	1.81986	4.71707	0.0530631
0.181	1.80201	4.65792	0.0530631
0.182	1.78425	4.59932	0.0530631
0.183	1.76662	4.54133	0.0530631
0.184	1.74906	4.48391	0.0530631
0.185	1.73164	4.42705	0.0530631
0.186	1.71439	4.37076	0.0530631
0.187	1.6972	4.31502	0.0530631
0.188	1.68013	4.25984	0.0530631
0.189	1.6632	4.20519	0.0530631
0.19	1.64634	4.15106	0.0530631
0.191	1.62959	4.09748	0.0530631
0.192	1.61296	4.04441	0.0530631
0.193	1.59639	3.99186	0.0530631
0.194	1.57993	3.93981	0.0530631
0.195	1.56364	3.88828	0.0530631
0.196	1.54744	3.83726	0.0530631
0.197	1.53135	3.78672	0.0530631
0.198	1.51537	3.73667	0.0530631
0.199	1.49947	3.68711	0.0530631
0.2	1.48367	3.63802	0.0530631
0.201	1.46801	3.58939	0.0530631
0.202	1.45245	3.54124	0.0530631
0.203	1.43698	3.49356	0.0530631
0.204	1.42162	3.44632	0.0530631
0.205	1.40633	3.39954	0.0530631
0.206	1.39115	3.35319	0.0530631
0.207	1.37603	3.30729	0.0530631
0.208	1.36104	3.26184	0.0530631
0.209	1.34613	3.21682	0.0530631
0.21	1.33127	3.17223	0.0530631
0.211	1.31655	3.12806	0.0530631
0.212	1.30196	3.0843	0.0530631
0.213	1.28743	3.04096	0.0530631
0.214	1.27297	2.99804	0.0530631
0.215	1.25863	2.95551	0.0530631
0.216	1.24438	2.91339	0.0530631
0.217	1.23023	2.87167	0.0530631
0.218	1.21619	2.83033	0.0530631
0.219	1.20222	2.78939	0.0530631
0.22	1.1883	2.74883	0.0530631
0.221	1.17449	2.70865	0.0530631
0.222	1.16074	2.66883	0.0530631
0.223	1.14708	2.6294	0.0530631
0.224	1.13349	2.59034	0.0530631
0.225	1.12	2.55165	0.0530631
0.226	1.10658	2.51332	0.0530631
0.227	1.09326	2.47534	0.0530631
0.228	1.08005	2.43771	0.0530631
0.229	1.06693	2.40042	0.0530631
0.23	1.05392	2.36351	0.0530631
0.231	1.04097	2.32692	0.0530631
0.232	1.0281	2.29067	0.0530631
0.233	1.01532	2.25475	0.0530631
0.234	1.00262	2.21918	0.0530631
0.235	0.989978	2.18391	0.0530631
0.236	0.977406	2.149	0.0530631
0.237	0.964924	2.11441	0.0530631
0.238	0.952541	2.08014	0.0530631
0.239	0.94023	2.04617	0.0530631
0.24	0.927991	2.01252	0.0530631
0.241	0.915835	1.97919	0.0530631
0.242	0.903748	1.94617	0.0530631
0.243	0.891735	1.91344	0.0530631
0.244	0.879786	1.881	0.0530631
0.245	0.867925	1.84887	0.0530631
0.246	0.856134	1.81704	0.0530631
0.247	0.844419	1.78549	0.0530631
0.248	0.832793	1.75424	0.0530631
0.249	0.821245	1.72327	0.0530631
0.25	0.809752	1.69259	0.0530631
0.251	0.798354	1.6622	0.0530631
0.252	0.787026	1.63209	0.0530631
0.253	0.775794	1.60226	0.0530631
0.254	0.764617	1.57269	0.0530631
0.255	0.753494	1.54338	0.0530631
0.256	0.742431	1.51435	0.0530631
0.257	0.731439	1.48558	0.0530631
0.258	0.720533	1.45708	0.0530631
0.259	0.709708	1.42884	0.0530631
0.26	0.698959	1.40086	0.0530631
0.261	0.688265	1.37315	0.0530631
0.262	0.677661	1.34566	0.0530631
0.263	0.667143	1.31844	0.0530631
0.264	0.656648	1.29146	0.0530631
0.265	0.646248	1.26473	0.0530631
0.266	0.635894	1.23825	0.0530631
0.267	0.625599	1.21199	0.0530631
0.268	0.615379	1.18599	0.0530631
0.269	0.605263	1.16025	0.0530631
0.27	0.59521	1.13474	0.0530631
0.271	0.585215	1.10946	0.0530631
0.272	0.57529	1.08442	0.0530631
0.273	0.565432	1.0596	0.0530631
0.274	0.555653	1.03502	0.0530631
0.275	0.545909	1.01066	0.0530631
0.276	0.536242	0.986522	0.0530631
0.277	0.526635	0.962617	0.0530631
0.278	0.51708	0.938919	0.0530631
0.279	0.507616	0.915438	0.0530631
0.28	0.498236	0.892184	0.0530631
0.281	0.488924	0.869143	0.0530631
0.282	0.479652	0.846316	0.0530631
0.283	0.470452	0.823703	0.0530631
0.284	0.461325	0.801302	0.0530631
0.285	0.452262	0.779104	0.0530631
0.286	0.443257	0.757095	0.0530631
0.287	0.434319	0.735292	0.0530631
0.288	0.425447	0.713702	0.0530631
0.289	0.416648	0.692334	0.0530631
0.29	0.407893	0.671156	0.0530631
0.291	0.399231	0.650188	0.0530631
0.292	0.390648	0.629417	0.0530631
0.293	0.38212	0.608835	0.0530631
0.294	0.373658	0.588433	0.0530631
0.295	0.365261	0.568235	0.0530631
0.296	0.35693	0.548241	0.0530631
0.297	0.348667	0.528414	0.0530631
0.298	0.34045	0.508812	0.0530631
0.299	0.332342	0.489406	0.0530631
0.3	0.32429	0.470183	0.0530631
0.301	0.31629	0.451145	0.0530631
0.302	0.308376	0.432298	0.0530631
0.303	0.300564	0.413619	0.0530631
0.304	0.292823	0.395147	0.0530631
0.305	0.285143	0.376876	0.0530631
0.306	0.277506	0.358796	0.0530631
0.307	0.269972	0.340878	0.0530631
0.308	0.262566	0.323165	0.0530631
0.309	0.255245	0.305654	0.0530631
0.31	0.24803	0.288351	0.0530631
0.311	0.240875	0.27123	0.0530631
0.312	0.233812	0.254318	0.0530631
0.313	0.226827	0.237601	0.0530631
0.314	0.219912	0.221111	0.0530631
0.315	0.213063	0.204835	0.0530631
0.316	0.206298	0.188785	0.0530631
0.317	0.199602	0.172977	0.0530631
0.318	0.192983	0.157437	0.0530631
0.319	0.186417	0.142172	0.0530631
0.32	0.17994	0.127176	0.0530631
0.321	0.173539	0.112532	0.0530631
0.322	0.167226	0.0982644	0.0530631
0.323	0.16098	0.0844393	0.0530631
0.324	0.154804	0.0711554	0.0530631
0.325	0.148692	0.0585543	0.0530631
0.326	0.142675	0.0468731	0.0530631
0.327	0.136768	0.0366424	0.0530631
0.328	0.131078	0.0295188	0.0530631
0.329	0.125986	0.026891	0.0530631
0.33	0.127985	0.0401027	0.0530631
0.331	0.134716	0.0546414	0.0530631
0.332	0.141471	0.0690495	0.0530631
0.333	0.1482	0.0833206	0.0530631
0.334	0.154901	0.0974536	0.0530631
0.335	0.161585	0.111441	0.0530631
0.336	0.168244	0.125315	0.0530631
0.337	0.174867	0.139065	0.0530631
0.338	0.181459	0.152671	0.0530631
0.339	0.188011	0.166155	0.0530631
0.34	0.194551	0.179513	0.0530631
0.341	0.201063	0.192734	0.0530631
0.342	0.20753	0.20583	0.0530631
0.343	0.213953	0.218804	0.0530631
0.344	0.220342	0.23165	0.0530631
0.345	0.226698	0.244381	0.0530631
0.346	0.23301	0.256991	0.0530631
0.347	0.239297	0.269469	0.0530631
0.348	0.245546	0.281825	0.0530631
0.349	0.251754	0.294064	0.0530631
0.35	0.257911	0.306183	0.0530631
0.351	0.264031	0.318187	0.0530631
0.352	0.270116	0.330067	0.0530631
0.353	0.276163	0.341846	0.0530631
0.354	0.28216	0.353504	0.0530631
0.355	0.288135	0.365056	0.0530631
0.356	0.29407	0.376488	0.0530631
0.357	0.299956	0.387816	0.0530631
0.358	0.305803	0.39902	0.0530631
0.359	0.311624	0.410117	0.0530631
0.36	0.317407	0.421103	0.0530631
0.361	0.323156	0.431984	0.0530631
0.362	0.328877	0.442752	0.0530631
0.363	0.334552	0.453438	0.0530631
0.364	0.340194	0.464007	0.0530631
0.365	0.345784	0.474459	0.0530631
0.366	0.351341	0.484812	0.0530631
0.367	0.356871	0.49506	0.0530631
0.368	0.362365	0.505203	0.0530631
0.369	0.367812	0.515259	0.0530631
0.37	0.373218	0.525206	0.0530631
0.371	0.378592	0.535047	0.0530631
0.372	0.383939	0.544779	0.0530631
0.373	0.389265	0.554415	0.0530631
0.374	0.394546	0.56397	0.0530631
0.375	0.399788	0.573432	0.0530631
0.376	0.404985	0.582792	0.0530631
0.377	0.410153	0.592045	0.0530631
0.378	0.415301	0.601215	0.0530631
0.379	0.420412	0.610292	0.0530631
0.38	0.425481	0.619264	0.0530631
0.381	0.430512	0.628142	0.0530631
0.382	0.435511	0.63693	0.0530631
0.383	0.440466	0.645638	0.0530631
0.384	0.445392	0.654251	0.0530631
0.385	0.450283	0.662774	0.0530631
0.386	0.455147	0.671205	0.0530631
0.387	0.459975	0.67954	0.0530631
0.388	0.46477	0.68778	0.0530631
0.389	0.469533	0.695945	0.0530631
0.39	0.474252	0.704036	0.0530631
0.391	0.478945	0.712038	0.0530631
0.392	0.483607	0.719955	0.0530631
0.393	0.488234	0.727785	0.0530631
0.394	0.492834	0.735526	0.0530631
0.395	0.497408	0.743187	0.0530631
0.396	0.501944	0.750765	0.0530631
0.397	0.506443	0.758251	0.0530631
0.398	0.510899	0.765672	0.0530631
0.399	0.515328	0.772996	0.0530631
0.4	0.51974	0.78025	0.0530631
0.401	0.524127	0.787432	0.0530631
0.402	0.52847	0.794525	0.0530631
0.403	0.532779	0.80155	0.0530631
0.404	0.537066	0.808488	0.0530631
0.405	0.54132	0.815339	0.0530631
0.406	0.545546	0.82211	0.0530631
0.407	0.549731	0.828814	0.0530631
0.408	0.553884	0.835454	0.0530631
0.409	0.558012	0.842006	0.0530631
0.41	0.562104	0.848483	0.0530631
0.411	0.566176	0.854894	0.0530631
0.412	0.57021	0.861233	0.0530631
0.413	0.574202	0.867497	0.0530631
0.414	0.57818	0.873689	0.0530631
0.415	0.582131	0.879818	0.0530631
0.416	0.586041	0.885864	0.0530631
0.417	0.589927	0.89184	0.0530631
0.418	0.593782	0.897739	0.0530631
0.419	0.597605	0.903571	0.0530631
0.42	0.601391	0.909339	0.0530631
0.421	0.60515	0.91504	0.0530631
0.422	0.608892	0.92068	0.0530631
0.423	0.612607	0.92625	0.0530631
0.424	0.616297	0.931754	0.0530631
0.425	0.619948	0.937187	0.0530631
0.426	0.623575	0.942546	0.0530631
0.427	0.627177	0.947841	0.0530631
0.428	0.63074	0.953087	0.0530631
0.429	0.634278	0.958261	0.0530631
0.43	0.637793	0.963362	0.0530631
0.431	0.641273	0.968413	0.0530631
0.432	0.644728	0.973397	0.0530631
0.433	0.648156	0.978319	0.0530631
0.434	0.651548	0.983171	0.0530631
0.435	0.654911	0.987958	0.0530631
0.436	0.658245	0.992696	0.0530631
0.437	0.661562	0.997376	0.0530631
0.438	0.664859	1.00199	0.0530631
0.439	0.668127	1.00655	0.0530631
0.44	0.671365	1.01104	0.0530631
0.441	0.674591	1.01546	0.0530631
0.442	0.67778	1.01984	0.0530631
0.443	0.680933	1.02416	0.0530631
0.444	0.684052	1.02841	0.0530631
0.445	0.687151	1.03261	0.0530631
0.446	0.690226	1.03675	0.0530631
0.447	0.693267	1.04084	0.0530631
0.448	0.696296	1.04487	0.0530631
0.449	0.6993	1.04884	0.0530631
0.45	0.702271	1.05276	0.0530631
0.451	0.705214	1.05664	0.0530631
0.452	0.708131	1.06045	0.0530631
0.453	0.711021	1.06421	0.0530631
0.454	0.713889	1.06791	0.0530631
0.455	0.716729	1.07157	0.0530631
0.456	0.719543	1.07518	0.0530631
0.457	0.722323	1.07873	0.0530631
0.458	0.725084	1.08222	0.0530631
0.459	0.727824	1.08565	0.0530631
0.46	0.730535	1.08903	0.0530631
