147201	156562	157098	160244	156768	157548	151370	152136	194198	170464	156962	168641	166443	168758	147626	152731	181274	144047	169877	180571	152372	150186	163481	173280	148359	157044	168579	142386	145634	150988	156500	177200	159015	156585	144493	144165	164358	176562	153736	163990	160899	147319	154155	161792	153022	161108	154140	169907	150403	155196	172667	152427	156917	157169	151663	161691	173044	163055	149352	138850	162140	149052	191660	163198	160065	153861	164448	147881	145630	161989	141879	166964	156701	152120	211865	158999	140550	
145345	57314	48445	57604	54456	53267	60709	64920	60582	58966	52051	48962	56717	57068	48880	47941	56462	51587	52377	47845	47819	47591	49213	53313	60682	46307	54364	47633	56154	54979	47090	54788	48407	51436	50920	54906	54915	59289	51528	51977	49253	56782	52546	56258	47753	57239	65096	48912	55759	47353	77249	48297	61051	49559	48667	53886	53697	50139	48153	54047	48366	50795	49673	53787	47813	51494	52488	50648	49565	47841	52872	47876	49064	56100	60315	53494	166999	
141439	46439	50020	53362	49127	46654	54804	76306	49259	48811	46998	60083	67209	48295	47877	48248	47999	50500	53536	57920	55883	46809	47729	46960	47888	48747	49422	58054	59678	66143	64346	48785	54494	55197	47801	47580	62462	47630	46974	56963	49096	52216	46958	51719	49261	47361	58299	49391	47546	49214	47947	49446	48284	58315	62373	48212	62728	53201	46733	49717	51150	47420	56010	56395	58429	47264	47890	48416	54644	54768	53211	46929	50800	56793	49023	50758	151799	
140101	48222	48566	47626	63112	54772	51973	62970	47999	78007	47975	62077	47714	59477	51432	54815	49316	54537	47009	56992	51099	48384	48790	47573	50503	48499	53178	45379	48280	49636	50992	54927	67582	48619	47903	50254	47892	47173	49415	48032	49763	47043	46798	60346	49907	47463	47309	46967	55985	49465	47314	53465	48741	53173	49451	51253	49085	58155	53356	54842	54296	54724	46493	48782	47960	48689	61057	47831	48548	49095	82663	48056	47890	60536	50939	52677	162597	
158222	49917	48300	56082	47062	46446	47218	46594	54163	49583	46988	50217	52924	49197	47709	48540	49521	47808	58962	46915	61878	60024	49406	52737	55154	47551	50852	50065	47784	48529	50739	55169	61673	62083	54804	53802	48350	64717	48796	48888	72858	54370	50068	59609	48089	48116	51828	53919	55115	48462	56636	50609	56854	55765	59681	47499	46773	45998	48237	58158	47702	49222	50197	60059	47189	56534	52379	49581	58711	47518	48104	53676	64918	67341	49779	46661	150432	
144958	47535	54880	46004	51227	47949	47496	55448	52977	49713	56122	50068	51757	47977	46810	50449	82206	55955	53600	52844	49806	48675	47978	49202	47343	58705	78884	56612	49280	51005	49438	48035	48302	52022	46247	54987	57767	51088	55227	56661	60632	48009	50593	48009	47441	64092	51764	47830	60310	47405	48322	48163	47137	57588	50793	48601	52103	50615	47595	46976	58036	51382	56847	52713	49905	46531	51021	47578	48861	51119	45810	47435	59659	58723	69926	69792	162390	
163916	50106	49056	59998	56643	51099	52816	47469	48381	52801	58077	50776	46136	51026	51148	51923	57522	52067	49284	47724	47166	47121	48166	44645	55465	53269	47443	46275	60645	54233	49855	53094	48838	47061	47212	52105	48038	47152	46763	48113	51731	50189	62505	52272	51413	50762	48473	49675	47494	47530	59708	50237	80883	57178	52530	49319	52926	53270	48205	50620	54340	55927	47911	51640	49720	47843	51899	48189	45558	47572	48685	45382	52452	47070	47923	51465	240441	
140385	48873	55480	50126	46037	48886	48418	59528	49528	50321	51137	59797	52420	58660	47087	49156	47638	51589	58206	47907	51862	49834	53475	60668	63500	56043	82191	66045	61960	54943	56600	57626	47546	46807	46309	47018	48631	50988	50075	48733	51779	46130	44475	48146	45840	50253	47668	48554	45073	48821	53375	47939	59430	56554	51087	69951	48221	53995	46520	54336	54842	55735	51939	53363	51088	48824	52115	56313	56246	60014	51967	54588	47863	51110	48936	55749	162284	
153824	51750	51798	45936	47449	60807	52961	56375	48395	50895	55300	53013	47275	49210	47120	47604	55405	52435	46516	53286	58389	46469	50930	51773	48049	51753	46484	48319	57046	52427	49506	49647	48540	47783	50005	51436	45937	47275	54288	54115	46728	47770	47148	51181	47363	53223	50063	51871	54136	50989	52449	50988	48807	55569	56011	50251	54857	48513	49865	54360	50557	53920	53676	50957	52360	46113	47060	51926	45967	51702	51063	48339	47857	47785	50604	51707	175709	
153477	46500	47739	53082	47619	45968	48890	50984	46456	51384	51287	50919	47772	48082	48571	53157	46761	51605	46810	49231	49414	45538	48052	51470	57199	52934	52423	52292	51442	47176	47462	48997	46523	57910	50945	51725	47761	46361	45327	48392	50413	49211	57740	49851	45164	50850	54568	44580	46073	47169	50447	46830	50411	53154	60129	47727	47783	50481	56543	54484	48740	55309	49737	51432	54114	54213	48582	48638	48954	46596	49238	52952	57705	56710	50532	48739	175535	
155678	49717	45744	52305	45496	50178	48292	51571	49467	47239	48767	51703	48317	51524	49494	47945	47691	49413	53616	50762	52099	101688	58911	52219	46858	46578	43961	50221	45170	46042	52549	60335	51618	57960	50886	47903	46522	56252	46821	53201	53106	53768	46863	53037	48235	52644	51100	50477	56531	54850	51412	55632	73101	48660	46821	54786	57969	46868	53404	60409	77580	47791	54447	49620	53038	48059	60461	47400	53693	48216	55433	52954	52195	47690	63182	48597	160392	
154816	56398	51099	47426	59361	46790	47885	46741	72264	57853	47851	48007	53005	48473	62434	46623	56419	47943	62216	62844	58569	54114	47028	51238	48013	55768	55749	50716	48757	51717	47261	47767	49412	47269	48312	57770	54886	48918	56591	57682	51143	66520	49461	59650	46913	56970	51868	50980	56616	60755	48283	55636	47001	55172	56390	71947	46239	58693	56125	49401	47582	47861	49061	47450	49147	59405	55271	61724	51559	62984	45078	51257	51142	54713	53402	51594	158326	
146602	55028	47510	47652	48131	54518	46971	47462	54660	50629	48493	62665	45479	46790	52237	47208	50372	50809	48156	51318	63651	47727	51746	53997	50283	49228	48851	51030	55961	46616	45693	47320	49755	46013	50466	48056	47192	53127	49577	48876	56712	49612	48574	44709	64148	53230	51587	50237	43651	51465	48899	53226	50895	53803	54357	52975	53560	52744	52919	47927	51105	47867	49443	50826	52019	51349	54205	48912	48776	52160	47200	47841	47318	47330	50138	46539	161575	
