t	integral	norm	uniform_integral	uniform_norm	time
-1	0.0955679	0.00825961	0.00915641	0.000492429	503283
-0.997337	0.0955679	0.00825961	0.00915641	0.000492429	63686
-0.994674	0.0822073	0.00705683	0.00915641	0.000492429	53813
-0.992011	0.0742846	0.00634418	0.00915641	0.000492429	54923
-0.989348	0.068669	0.00583931	0.00915641	0.000492429	55272
-0.986684	0.064341	0.00545031	0.00915641	0.000492429	58422
-0.984021	0.060836	0.00513538	0.00915641	0.000492429	75067
-0.981358	0.0579027	0.00487185	0.00915641	0.000492429	51963
-0.978695	0.0553892	0.00464607	0.00915641	0.000492429	54449
-0.976032	0.0531969	0.00444917	0.00915641	0.000492429	56531
-0.973369	0.0512581	0.00427505	0.00915641	0.000492429	79513
-0.970706	0.0495242	0.00411934	0.00915641	0.000492429	52218
-0.968043	0.0479592	0.00397882	0.00915641	0.000492429	53740
-0.965379	0.0465358	0.00385101	0.00915641	0.000492429	55154
-0.962716	0.0452327	0.00373401	0.00915641	0.000492429	58958
-0.960053	0.0440329	0.0036263	0.00915641	0.000492429	64443
-0.95739	0.0429228	0.00352664	0.00915641	0.000492429	74442
-0.954727	0.0418913	0.00343404	0.00915641	0.000492429	47660
-0.952064	0.0409291	0.00334766	0.00915641	0.000492429	48705
-0.949401	0.0400284	0.0032668	0.00915641	0.000492429	50146
-0.946738	0.0391828	0.00319089	0.00915641	0.000492429	48793
-0.944075	0.0383866	0.00311942	0.00915641	0.000492429	50439
-0.941411	0.0376351	0.00305196	0.00915641	0.000492429	48658
-0.938748	0.0369241	0.00298814	0.00915641	0.000492429	100500
-0.936085	0.03625	0.00292763	0.00915641	0.000492429	57011
-0.933422	0.0356096	0.00287015	0.00915641	0.000492429	53856
-0.930759	0.0350002	0.00281544	0.00915641	0.000492429	48914
-0.928096	0.0344192	0.0027633	0.00915641	0.000492429	57724
-0.925433	0.0338645	0.00271351	0.00915641	0.000492429	73778
-0.92277	0.0333342	0.00266591	0.00915641	0.000492429	112666
-0.920107	0.0328265	0.00262033	0.00915641	0.000492429	101166
-0.917443	0.0323397	0.00257664	0.00915641	0.000492429	39127
-0.91478	0.0318725	0.0025347	0.00915641	0.000492429	44723
-0.912117	0.0314236	0.00249441	0.00915641	0.000492429	46850
-0.909454	0.0309918	0.00245565	0.00915641	0.000492429	47187
-0.906791	0.0305761	0.00241833	0.00915641	0.000492429	156598
-0.904128	0.0301754	0.00238236	0.00915641	0.000492429	48622
-0.901465	0.0297889	0.00234767	0.00915641	0.000492429	48729
-0.898802	0.0294158	0.00231417	0.00915641	0.000492429	48557
-0.896138	0.0290552	0.00228181	0.00915641	0.000492429	51620
-0.893475	0.0287066	0.00225052	0.00915641	0.000492429	33517
-0.890812	0.0283693	0.00222024	0.00915641	0.000492429	52429
-0.888149	0.0280426	0.00219091	0.00915641	0.000492429	52357
-0.885486	0.0277261	0.0021625	0.00915641	0.000492429	91326
-0.882823	0.0274192	0.00213495	0.00915641	0.000492429	56487
-0.88016	0.0271214	0.00210822	0.00915641	0.000492429	47400
-0.877497	0.0268324	0.00208227	0.00915641	0.000492429	137097
-0.874834	0.0265516	0.00205707	0.00915641	0.000492429	49170
-0.87217	0.0262788	0.00203257	0.00915641	0.000492429	48423
-0.869507	0.0260135	0.00200875	0.00915641	0.000492429	48697
-0.866844	0.0257554	0.00198558	0.00915641	0.000492429	50212
-0.864181	0.0255042	0.00196303	0.00915641	0.000492429	35122
-0.861518	0.0252596	0.00194107	0.00915641	0.000492429	50771
-0.858855	0.0250214	0.00191968	0.00915641	0.000492429	53402
-0.856192	0.0247892	0.00189883	0.00915641	0.000492429	52212
-0.853529	0.0245628	0.00187851	0.00915641	0.000492429	54613
-0.850866	0.0243419	0.00185868	0.00915641	0.000492429	76838
-0.848202	0.0241265	0.00183933	0.00915641	0.000492429	73784
-0.845539	0.0239161	0.00182045	0.00915641	0.000492429	68235
-0.842876	0.0237107	0.00180201	0.00915641	0.000492429	47094
-0.840213	0.0235101	0.00178399	0.00915641	0.000492429	74824
-0.83755	0.0233141	0.00176639	0.00915641	0.000492429	47408
-0.834887	0.0231225	0.00174919	0.00915641	0.000492429	49167
-0.832224	0.0229351	0.00173236	0.00915641	0.000492429	46579
-0.829561	0.0227519	0.00171591	0.00915641	0.000492429	50380
-0.826897	0.0225726	0.00169981	0.00915641	0.000492429	49694
-0.824234	0.0223971	0.00168405	0.00915641	0.000492429	54455
-0.821571	0.0222253	0.00166862	0.00915641	0.000492429	52158
-0.818908	0.0220571	0.00165352	0.00915641	0.000492429	49769
-0.816245	0.0218924	0.00163872	0.00915641	0.000492429	58246
-0.813582	0.021731	0.00162423	0.00915641	0.000492429	47300
-0.810919	0.0215728	0.00161002	0.00915641	0.000492429	52663
