t	integral	norm	uniform_integral	uniform_norm	time
-1	0.128375	0.0112489	0.0123443	0.00082746	243167
-0.997337	0.128375	0.0112489	0.0123443	0.00082746	68043
-0.994674	0.111357	0.0097131	0.0123443	0.00082746	70928
-0.992011	0.10114	0.008792	0.0123443	0.00082746	52892
-0.989348	0.0938369	0.00813394	0.0123443	0.00082746	127981
-0.986684	0.08817	0.00762361	0.0123443	0.00082746	67341
-0.984021	0.0835553	0.00720821	0.0123443	0.00082746	130339
-0.981358	0.0796749	0.00685903	0.0123443	0.00082746	138015
-0.978695	0.0763362	0.00655869	0.0123443	0.00082746	59314
-0.976032	0.0734134	0.00629585	0.0123443	0.00082746	106011
-0.973369	0.07082	0.00606268	0.0123443	0.00082746	83645
-0.970706	0.0684938	0.00585359	0.0123443	0.00082746	53093
-0.968043	0.0663884	0.0056644	0.0123443	0.00082746	52730
-0.965379	0.0644687	0.00549192	0.0123443	0.00082746	70326
-0.962716	0.0627071	0.00533368	0.0123443	0.00082746	51352
-0.960053	0.0610817	0.0051877	0.0123443	0.00082746	72191
-0.95739	0.0595747	0.00505239	0.0123443	0.00082746	52922
-0.954727	0.0581718	0.00492643	0.0123443	0.00082746	56126
-0.952064	0.0568607	0.00480874	0.0123443	0.00082746	63970
-0.949401	0.0556315	0.00469842	0.0123443	0.00082746	74772
-0.946738	0.0544755	0.00459468	0.0123443	0.00082746	49402
-0.944075	0.0533855	0.00449688	0.0123443	0.00082746	51162
-0.941411	0.0523551	0.00440445	0.0123443	0.00082746	49110
-0.938748	0.051379	0.00431688	0.0123443	0.00082746	56145
-0.936085	0.0504523	0.00423377	0.0123443	0.00082746	96605
-0.933422	0.0495709	0.00415473	0.0123443	0.00082746	60768
-0.930759	0.0487311	0.00407942	0.0123443	0.00082746	346273
-0.928096	0.0479297	0.00400757	0.0123443	0.00082746	61093
-0.925433	0.0471637	0.00393889	0.0123443	0.00082746	161131
-0.92277	0.0464305	0.00387317	0.0123443	0.00082746	55604
-0.920107	0.0457278	0.00381019	0.0123443	0.00082746	47212
-0.917443	0.0450536	0.00374976	0.0123443	0.00082746	70050
-0.91478	0.0444059	0.00369172	0.0123443	0.00082746	46760
-0.912117	0.043783	0.0036359	0.0123443	0.00082746	113587
