t	integral	norm	uniform_integral	uniform_norm	time
-0.725699	0.0348054	0.435471	0.0160179	0.197357	54646
-0.723036	0.0346117	0.433003	0.0160179	0.197357	54041
-0.720373	0.0344206	0.430568	0.0160179	0.197357	68089
-0.71771	0.0342321	0.428167	0.0160179	0.197357	54215
-0.715047	0.0340462	0.425798	0.0160179	0.197357	79018
-0.712383	0.0338627	0.423461	0.0160179	0.197357	56491
-0.70972	0.0336817	0.421155	0.0160179	0.197357	57429
-0.707057	0.033503	0.41888	0.0160179	0.197357	83978
-0.704394	0.0333267	0.416634	0.0160179	0.197357	58996
-0.701731	0.0331526	0.414418	0.0160179	0.197357	54153
-0.699068	0.0329808	0.412231	0.0160179	0.197357	67387
-0.696405	0.0328112	0.410071	0.0160179	0.197357	90482
-0.693742	0.0326437	0.407939	0.0160179	0.197357	72474
-0.691079	0.0324784	0.405834	0.0160179	0.197357	63497
-0.688415	0.0323151	0.403756	0.0160179	0.197357	54507
-0.685752	0.0321538	0.401703	0.0160179	0.197357	111211
-0.683089	0.0319945	0.399676	0.0160179	0.197357	109405
-0.680426	0.0318372	0.397674	0.0160179	0.197357	53521
-0.677763	0.0316817	0.395696	0.0160179	0.197357	63552
-0.6751	0.0315282	0.393742	0.0160179	0.197357	56209
-0.672437	0.0313765	0.391812	0.0160179	0.197357	55300
-0.669774	0.0312266	0.389905	0.0160179	0.197357	58272
-0.667111	0.0310784	0.38802	0.0160179	0.197357	53852
-0.664447	0.030932	0.386158	0.0160179	0.197357	60669
-0.661784	0.0307873	0.384318	0.0160179	0.197357	122647
-0.659121	0.0306443	0.382499	0.0160179	0.197357	66635
-0.656458	0.030503	0.380701	0.0160179	0.197357	62015
-0.653795	0.0303632	0.378924	0.0160179	0.197357	59925
-0.651132	0.030225	0.377167	0.0160179	0.197357	54908
-0.648469	0.0300884	0.37543	0.0160179	0.197357	74521
-0.645806	0.0299534	0.373713	0.0160179	0.197357	59821
-0.643142	0.0298198	0.372015	0.0160179	0.197357	136967
-0.640479	0.0296877	0.370336	0.0160179	0.197357	200829
-0.637816	0.0295571	0.368675	0.0160179	0.197357	56626
-0.635153	0.0294279	0.367033	0.0160179	0.197357	55279
-0.63249	0.0293001	0.365409	0.0160179	0.197357	53499
-0.629827	0.0291737	0.363803	0.0160179	0.197357	51042
-0.627164	0.0290487	0.362214	0.0160179	0.197357	53506
-0.624501	0.028925	0.360642	0.0160179	0.197357	54522
-0.621838	0.0288026	0.359086	0.0160179	0.197357	50516
-0.619174	0.0286815	0.357548	0.0160179	0.197357	74776
-0.616511	0.0285617	0.356025	0.0160179	0.197357	193644
-0.613848	0.0284431	0.354519	0.0160179	0.197357	165600
-0.611185	0.0283257	0.353028	0.0160179	0.197357	50775
-0.608522	0.0282096	0.351553	0.0160179	0.197357	196934
-0.605859	0.0280947	0.350093	0.0160179	0.197357	52501
-0.603196	0.0279809	0.348648	0.0160179	0.197357	66809
-0.600533	0.0278683	0.347218	0.0160179	0.197357	51023
-0.59787	0.0277568	0.345802	0.0160179	0.197357	51336
-0.595206	0.0276465	0.344401	0.0160179	0.197357	47702
-0.592543	0.0275372	0.343014	0.0160179	0.197357	51286
-0.58988	0.027429	0.34164	0.0160179	0.197357	53878
-0.587217	0.0273219	0.340281	0.0160179	0.197357	51077
-0.584554	0.0272159	0.338934	0.0160179	0.197357	64039
-0.581891	0.0271109	0.337601	0.0160179	0.197357	96618
-0.579228	0.0270069	0.336281	0.0160179	0.197357	51211
-0.576565	0.0269039	0.334974	0.0160179	0.197357	56028
-0.573901	0.0268019	0.33368	0.0160179	0.197357	109960
-0.571238	0.0267009	0.332398	0.0160179	0.197357	49608
-0.568575	0.0266009	0.331128	0.0160179	0.197357	52938
-0.565912	0.0265018	0.32987	0.0160179	0.197357	52318
-0.563249	0.0264036	0.328625	0.0160179	0.197357	53697
-0.560586	0.0263064	0.327391	0.0160179	0.197357	63476
-0.557923	0.02621	0.326168	0.0160179	0.197357	312742
-0.55526	0.0261146	0.324957	0.0160179	0.197357	43450
-0.552597	0.02602	0.323758	0.0160179	0.197357	66567
-0.549933	0.0259263	0.322569	0.0160179	0.197357	54700
-0.54727	0.0258335	0.321391	0.0160179	0.197357	69176
-0.544607	0.0257415	0.320225	0.0160179	0.197357	60470
-0.541944	0.0256504	0.319068	0.0160179	0.197357	53053
-0.539281	0.02556	0.317923	0.0160179	0.197357	62939
-0.536618	0.0254705	0.316787	0.0160179	0.197357	58348
-0.533955	0.0253818	0.315662	0.0160179	0.197357	77744
-0.531292	0.0252938	0.314547	0.0160179	0.197357	57024
-0.528628	0.0252067	0.313442	0.0160179	0.197357	163316
-0.525965	0.0251203	0.312347	0.0160179	0.197357	80911
-0.523302	0.0250347	0.311261	0.0160179	0.197357	60329
-0.520639	0.0249498	0.310185	0.0160179	0.197357	55882
-0.517976	0.0248656	0.309118	0.0160179	0.197357	180884
-0.515313	0.0247822	0.308061	0.0160179	0.197357	53396
-0.51265	0.0246995	0.307012	0.0160179	0.197357	56600
-0.509987	0.0246175	0.305973	0.0160179	0.197357	54174
-0.507324	0.0245362	0.304943	0.0160179	0.197357	51250
-0.50466	0.0244556	0.303921	0.0160179	0.197357	64848
-0.501997	0.0243757	0.302908	0.0160179	0.197357	54766
-0.499334	0.0242965	0.301904	0.0160179	0.197357	54063
-0.496671	0.0242179	0.300908	0.0160179	0.197357	60051
-0.494008	0.02414	0.299921	0.0160179	0.197357	55328
-0.491345	0.0240627	0.298941	0.0160179	0.197357	387199
-0.488682	0.0239861	0.29797	0.0160179	0.197357	147454
-0.486019	0.0239101	0.297007	0.0160179	0.197357	53163
-0.483356	0.0238347	0.296052	0.0160179	0.197357	60156
-0.480692	0.0237599	0.295105	0.0160179	0.197357	100214
-0.478029	0.0236857	0.294166	0.0160179	0.197357	49967
-0.475366	0.0236122	0.293234	0.0160179	0.197357	102334
-0.472703	0.0235392	0.29231	0.0160179	0.197357	49213
-0.47004	0.0234668	0.291393	0.0160179	0.197357	95568
-0.467377	0.023395	0.290483	0.0160179	0.197357	49423
-0.464714	0.0233238	0.289581	0.0160179	0.197357	48341
-0.462051	0.0232531	0.288686	0.0160179	0.197357	45634
-0.459387	0.023183	0.287799	0.0160179	0.197357	102300
-0.456724	0.0231135	0.286918	0.0160179	0.197357	121167
-0.454061	0.0230445	0.286044	0.0160179	0.197357	47908
-0.451398	0.022976	0.285177	0.0160179	0.197357	51634
-0.448735	0.022908	0.284317	0.0160179	0.197357	47095
-0.446072	0.0228406	0.283463	0.0160179	0.197357	47462
-0.443409	0.0227737	0.282616	0.0160179	0.197357	63660
-0.440746	0.0227074	0.281776	0.0160179	0.197357	54837
-0.438083	0.0226415	0.280942	0.0160179	0.197357	54747
-0.435419	0.0225761	0.280115	0.0160179	0.197357	87695
-0.432756	0.0225112	0.279294	0.0160179	0.197357	58269
-0.430093	0.0224469	0.278479	0.0160179	0.197357	54558
-0.42743	0.022383	0.27767	0.0160179	0.197357	52536
-0.424767	0.0223195	0.276868	0.0160179	0.197357	61452
-0.422104	0.0222566	0.276071	0.0160179	0.197357	53962
-0.419441	0.0221941	0.27528	0.0160179	0.197357	55802
-0.416778	0.0221321	0.274496	0.0160179	0.197357	58249
-0.414115	0.0220705	0.273717	0.0160179	0.197357	131887
-0.411451	0.0220094	0.272944	0.0160179	0.197357	54554
-0.408788	0.0219488	0.272176	0.0160179	0.197357	50521
-0.406125	0.0218886	0.271415	0.0160179	0.197357	53782
-0.403462	0.0218288	0.270658	0.0160179	0.197357	96412
-0.400799	0.0217695	0.269908	0.0160179	0.197357	78076
-0.398136	0.0217106	0.269163	0.0160179	0.197357	64442
-0.395473	0.0216521	0.268423	0.0160179	0.197357	54275
-0.39281	0.021594	0.267688	0.0160179	0.197357	63672
-0.390146	0.0215364	0.266959	0.0160179	0.197357	51941
-0.387483	0.0214791	0.266235	0.0160179	0.197357	55442
-0.38482	0.0214223	0.265517	0.0160179	0.197357	55957
-0.382157	0.0213659	0.264803	0.0160179	0.197357	56637
-0.379494	0.0213098	0.264094	0.0160179	0.197357	64186
-0.376831	0.0212542	0.263391	0.0160179	0.197357	129105
-0.374168	0.0211989	0.262692	0.0160179	0.197357	56174
-0.371505	0.0211441	0.261999	0.0160179	0.197357	126335
-0.368842	0.0210896	0.26131	0.0160179	0.197357	54513
-0.366178	0.0210355	0.260626	0.0160179	0.197357	156332
-0.363515	0.0209817	0.259946	0.0160179	0.197357	53115
-0.360852	0.0209284	0.259272	0.0160179	0.197357	51816
-0.358189	0.0208754	0.258602	0.0160179	0.197357	55469
-0.355526	0.0208227	0.257936	0.0160179	0.197357	43272
-0.352863	0.0207705	0.257276	0.0160179	0.197357	56541
-0.3502	0.0207185	0.256619	0.0160179	0.197357	55032
-0.347537	0.020667	0.255968	0.0160179	0.197357	52140
