t	integral	norm	uniform_integral	uniform_norm	time
-1	0.00275482	9.623e-13	0.00275482	1.63914e-13	139723
-0.997337	0.00275482	8.30889e-13	0.00275482	1.63914e-13	14898
-0.994674	0.00275482	7.21307e-13	0.00275482	1.63914e-13	14390
-0.992011	0.00275482	9.11766e-13	0.00275482	1.63914e-13	15939
-0.989348	0.00275482	5.12046e-13	0.00275482	1.63914e-13	23839
-0.986684	0.00275482	7.48298e-13	0.00275482	1.63914e-13	17036
-0.984021	0.00275482	5.52354e-13	0.00275482	1.63914e-13	19113
-0.981358	0.00275482	5.91533e-13	0.00275482	1.63914e-13	15463
-0.978695	0.00275482	7.17187e-13	0.00275482	1.63914e-13	14426
-0.976032	0.00275482	3.40882e-13	0.00275482	1.63914e-13	15262
-0.973369	0.00275482	4.68061e-13	0.00275482	1.63914e-13	14776
-0.970706	0.00275482	9.623e-13	0.00275482	1.63914e-13	15799
-0.968043	0.00275482	8.13833e-13	0.00275482	1.63914e-13	17067
-0.965379	0.00275482	5.33361e-13	0.00275482	1.63914e-13	25975
-0.962716	0.00275482	6.19327e-13	0.00275482	1.63914e-13	21366
-0.960053	0.00275482	3.9629e-13	0.00275482	1.63914e-13	14344
-0.95739	0.00275482	3.83844e-13	0.00275482	1.63914e-13	14881
-0.954727	0.00275482	6.5632e-13	0.00275482	1.63914e-13	15421
-0.952064	0.00275482	2.30871e-13	0.00275482	1.63914e-13	15081
-0.949401	0.00275482	5.10864e-13	0.00275482	1.63914e-13	15047
-0.946738	0.00275482	6.28566e-13	0.00275482	1.63914e-13	15092
-0.944075	0.00275482	5.56472e-13	0.00275482	1.63914e-13	14154
-0.941411	0.00275482	2.06457e-13	0.00275482	1.63914e-13	14628
-0.938748	0.00275482	3.2682e-13	0.00275482	1.63914e-13	13991
-0.936085	0.00275482	6.53765e-13	0.00275482	1.63914e-13	18621
-0.933422	0.00275482	7.83063e-13	0.00275482	1.63914e-13	14820
-0.930759	0.00275482	6.38362e-13	0.00275482	1.63914e-13	15865
-0.928096	0.00275482	1.84252e-13	0.00275482	1.63914e-13	14610
-0.925433	0.00275482	5.32129e-13	0.00275482	1.63914e-13	14114
-0.92277	0.00275482	4.63427e-13	0.00275482	1.63914e-13	17741
-0.920107	0.00275482	4.88334e-13	0.00275482	1.63914e-13	14387
-0.917443	0.00275482	3.98573e-13	0.00275482	1.63914e-13	15435
-0.91478	0.00275482	1.78238e-13	0.00275482	1.63914e-13	15019
-0.912117	0.00275482	4.78952e-13	0.00275482	1.63914e-13	15926
-0.909454	0.00275482	4.82668e-13	0.00275482	1.63914e-13	14346
-0.906791	0.00275482	3.83401e-13	0.00275482	1.63914e-13	14681
-0.904128	0.00275482	2.50116e-13	0.00275482	1.63914e-13	13843
-0.901465	0.00275482	3.96567e-13	0.00275482	1.63914e-13	15139
-0.898802	0.00275482	5.33095e-13	0.00275482	1.63914e-13	14069
-0.896138	0.00275482	3.0335e-13	0.00275482	1.63914e-13	14573
-0.893475	0.00275482	1.12064e-13	0.00275482	1.63914e-13	14156
-0.890812	0.00275482	2.36523e-13	0.00275482	1.63914e-13	14692
-0.888149	0.00275482	3.88513e-13	0.00275482	1.63914e-13	14222
-0.885486	0.00275482	3.68595e-13	0.00275482	1.63914e-13	14316
-0.882823	0.00275482	1.46531e-13	0.00275482	1.63914e-13	21215
-0.88016	0.00275482	4.43441e-13	0.00275482	1.63914e-13	14266
-0.877497	0.00275482	3.9264e-13	0.00275482	1.63914e-13	14461
